date,cameraman
2018-01-07,0.36
2018-01-14,0.235
2018-01-21,0.35
2018-01-28,0.185
2018-02-04,0.27
2018-02-11,0.18
2018-02-18,0.27
2018-02-25,0.17
2018-03-04,0.735
2018-03-11,0.47
2018-03-18,0.18
2018-03-25,0.0
2018-04-01,1.0
2018-04-08,0.5
2018-04-15,0.205
2018-04-22,0.675
2018-04-29,0.37
2018-05-06,0.195
2018-05-13,0.665
2018-05-20,0.29
2018-05-27,0.67
2018-06-03,0.185
2018-06-10,0.0
2018-06-17,0.38
2018-06-24,0.0
2018-07-01,0.185
2018-07-08,0.285
2018-07-15,0.2
2018-07-22,0.2
2018-07-29,0.205
2018-08-05,0.415
2018-08-12,0.21
2018-08-19,0.27
2018-08-26,0.195
2018-09-02,0.285
2018-09-09,0.0
2018-09-16,0.19
2018-09-23,0.195
2018-09-30,0.19
2018-10-07,0.0
2018-10-14,0.195
2018-10-21,0.0
2018-10-28,0.29
2018-11-04,0.28
2018-11-11,0.0
2018-11-18,0.18
2018-11-25,0.0
2018-12-02,0.185
2018-12-09,0.375
2018-12-16,0.38
2018-12-23,0.21
2018-12-30,0.19
2019-01-06,0.77
2019-01-13,0.0
2019-01-20,0.175
2019-01-27,0.175
2019-02-03,0.175
2019-02-10,0.18
2019-02-17,0.0
2019-02-24,0.185
2019-03-03,0.26
2019-03-10,0.66
2019-03-17,0.185
2019-03-24,0.18
2019-03-31,0.655
2019-04-07,0.17
2019-04-14,0.265
2019-04-21,0.265
2019-04-28,0.435
2019-05-05,0.225
2019-05-12,0.17
2019-05-19,0.17
2019-05-26,0.18
2019-06-02,0.17
2019-06-09,0.245
2019-06-16,0.35
2019-06-23,0.44
2019-06-30,0.265
2019-07-07,0.0
2019-07-14,0.175
2019-07-21,0.18
2019-07-28,0.18
2019-08-04,0.0
2019-08-11,0.19
2019-08-18,0.69
2019-08-25,0.37
2019-09-01,0.63
2019-09-08,0.25
2019-09-15,0.165
2019-09-22,0.335
2019-09-29,0.17
2019-10-06,0.17
2019-10-13,0.17
2019-10-20,0.25
2019-10-27,0.67
2019-11-03,0.16
2019-11-10,0.24
2019-11-17,0.315
2019-11-24,0.15
2019-12-01,0.575
2019-12-08,0.31
2019-12-15,0.16
2019-12-22,0.61
2019-12-29,0.22
2020-01-05,0.56
2020-01-12,0.0
2020-01-19,0.155
2020-01-26,0.555
2020-02-02,0.225
2020-02-09,0.15
2020-02-16,0.145
2020-02-23,0.145
2020-03-01,0.0
2020-03-08,0.145
2020-03-15,0.14
2020-03-22,0.135
2020-03-29,0.135
2020-04-05,0.135
2020-04-12,0.34
2020-04-19,0.205
2020-04-26,0.13
2020-05-03,0.51
2020-05-10,0.41
2020-05-17,0.175
