date,cameraman,isPartial
2018-01-07,58,False
2018-01-14,43,False
2018-01-21,62,False
2018-01-28,74,False
2018-02-04,37,False
2018-02-11,42,False
2018-02-18,38,False
2018-02-25,49,False
2018-03-04,37,False
2018-03-11,33,False
2018-03-18,23,False
2018-03-25,90,False
2018-04-01,100,False
2018-04-08,45,False
2018-04-15,58,False
2018-04-22,65,False
2018-04-29,48,False
2018-05-06,37,False
2018-05-13,47,False
2018-05-20,43,False
2018-05-27,55,False
2018-06-03,30,False
2018-06-10,34,False
2018-06-17,43,False
2018-06-24,26,False
2018-07-01,34,False
2018-07-08,53,False
2018-07-15,43,False
2018-07-22,46,False
2018-07-29,26,False
2018-08-05,62,False
2018-08-12,42,False
2018-08-19,18,False
2018-08-26,44,False
2018-09-02,34,False
2018-09-09,33,False
2018-09-16,52,False
2018-09-23,45,False
2018-09-30,38,False
2018-10-07,24,False
2018-10-14,52,False
2018-10-21,34,False
2018-10-28,22,False
2018-11-04,32,False
2018-11-11,37,False
2018-11-18,48,False
2018-11-25,44,False
2018-12-02,26,False
2018-12-09,31,False
2018-12-16,72,False
2018-12-23,46,False
2018-12-30,20,False
2019-01-06,39,False
2019-01-13,35,False
2019-01-20,40,False
2019-01-27,29,False
2019-02-03,29,False
2019-02-10,33,False
2019-02-17,41,False
2019-02-24,33,False
2019-03-03,27,False
2019-03-10,37,False
2019-03-17,41,False
2019-03-24,36,False
2019-03-31,37,False
2019-04-07,24,False
2019-04-14,24,False
2019-04-21,28,False
2019-04-28,33,False
2019-05-05,32,False
2019-05-12,46,False
2019-05-19,34,False
2019-05-26,42,False
2019-06-02,30,False
2019-06-09,45,False
2019-06-16,42,False
2019-06-23,36,False
2019-06-30,34,False
2019-07-07,28,False
2019-07-14,24,False
2019-07-21,22,False
2019-07-28,42,False
2019-08-04,32,False
2019-08-11,30,False
2019-08-18,20,False
2019-08-25,32,False
2019-09-01,20,False
2019-09-08,56,False
2019-09-15,44,False
2019-09-22,40,False
2019-09-29,34,False
2019-10-06,39,False
2019-10-13,37,False
2019-10-20,48,False
2019-10-27,36,False
2019-11-03,38,False
2019-11-10,32,False
2019-11-17,53,False
2019-11-24,37,False
2019-12-01,35,False
2019-12-08,35,False
2019-12-15,40,False
2019-12-22,37,False
2019-12-29,43,False
2020-01-05,51,False
2020-01-12,40,False
2020-01-19,45,False
2020-01-26,24,False
2020-02-02,55,False
2020-02-09,38,False
2020-02-16,20,False
2020-02-23,41,False
2020-03-01,31,False
2020-03-08,25,False
2020-03-15,28,False
2020-03-22,34,False
2020-03-29,59,False
2020-04-05,51,False
2020-04-12,46,False
2020-04-19,61,False
2020-04-26,50,False
2020-05-03,36,False
2020-05-10,36,False
2020-05-17,36,True
