geoName,geoCode,dépannage climatisation
Brittany,FR-E,0.0
Centre-Val de Loire,FR-F,0.0
Corsica,FR-H,0.0
Pays de la Loire,FR-R,51.0
Provence-Alpes-Côte d'Azur,FR-U,53.99999999999999
Île-de-France,FR-J,21.0
Grand-est,FR-GE,30.0
Hauts-de-france,FR-HF,0.0
Normandie,FR-NO,0.0
Bourgogne-Franche-Comté,FR-BFC,0.0
Nouvelle-Aquitaine,FR-NA,100.0
Occitanie,FR-OC,0.0
Auvergne-Rhône-Alpes,FR-AR,0.0
