geoName,geoCode,capelli corti
Abruzzo,IT-65,79
Aosta,IT-23,63
Apulia,IT-75,99
Basilicata,IT-77,100
Calabria,IT-78,91
Campania,IT-72,73
Emilia-Romagna,IT-45,77
Friuli-Venezia Giulia,IT-36,81
Lazio,IT-62,73
Liguria,IT-42,80
Lombardy,IT-25,76
Marche,IT-57,80
Molise,IT-67,70
Piedmont,IT-21,88
Sardinia,IT-88,91
Sicily,IT-82,87
Trentino-Alto Adige/South Tyrol,IT-32,67
Tuscany,IT-52,83
Umbria,IT-55,84
Veneto,IT-34,77
