date,capelli corti,isPartial
2018-01-07,54,False
2018-01-14,54,False
2018-01-21,14,False
2018-01-28,20,False
2018-02-04,6,False
2018-02-11,20,False
2018-02-18,76,False
2018-02-25,37,False
2018-03-04,13,False
2018-03-11,13,False
2018-03-18,20,False
2018-03-25,42,False
2018-04-01,43,False
2018-04-08,40,False
2018-04-15,63,False
2018-04-22,43,False
2018-04-29,21,False
2018-05-06,67,False
2018-05-13,34,False
2018-05-20,48,False
2018-05-27,41,False
2018-06-03,34,False
2018-06-10,26,False
2018-06-17,40,False
2018-06-24,40,False
2018-07-01,60,False
2018-07-08,66,False
2018-07-15,40,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,47,False
2018-08-12,26,False
2018-08-19,27,False
2018-08-26,25,False
2018-09-02,32,False
2018-09-09,54,False
2018-09-16,46,False
2018-09-23,13,False
2018-09-30,61,False
2018-10-07,14,False
2018-10-14,77,False
2018-10-21,97,False
2018-10-28,14,False
2018-11-04,27,False
2018-11-11,42,False
2018-11-18,39,False
2018-11-25,33,False
2018-12-02,14,False
2018-12-09,39,False
2018-12-16,40,False
2018-12-23,53,False
2018-12-30,49,False
2019-01-06,6,False
2019-01-13,56,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,12,False
2019-02-10,49,False
2019-02-17,43,False
2019-02-24,31,False
2019-03-03,13,False
2019-03-10,6,False
2019-03-17,25,False
2019-03-24,43,False
2019-03-31,56,False
2019-04-07,100,False
2019-04-14,52,False
2019-04-21,39,False
2019-04-28,6,False
2019-05-05,42,False
2019-05-12,35,False
2019-05-19,53,False
2019-05-26,39,False
2019-06-02,50,False
2019-06-09,38,False
2019-06-16,69,False
2019-06-23,50,False
2019-06-30,69,False
2019-07-07,41,False
2019-07-14,49,False
2019-07-21,50,False
2019-07-28,72,False
2019-08-04,37,False
2019-08-11,25,False
2019-08-18,41,False
2019-08-25,50,False
2019-09-01,33,False
2019-09-08,72,False
2019-09-15,41,False
2019-09-22,17,False
2019-09-29,17,False
2019-10-06,71,False
2019-10-13,29,False
2019-10-20,6,False
2019-10-27,39,False
2019-11-03,17,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,33,False
2019-12-01,63,False
2019-12-08,47,False
2019-12-15,30,False
2019-12-22,47,False
2019-12-29,19,False
2020-01-05,28,False
2020-01-12,26,False
2020-01-19,43,False
2020-01-26,11,False
2020-02-02,26,False
2020-02-09,28,False
2020-02-16,39,False
2020-02-23,30,False
2020-03-01,24,False
2020-03-08,10,False
2020-03-15,14,False
2020-03-22,4,False
2020-03-29,18,False
2020-04-05,29,False
2020-04-12,23,False
2020-04-19,31,False
2020-04-26,8,True
