date,capelli corti,isPartial
2018-01-07,86,False
2018-01-14,80,False
2018-01-21,91,False
2018-01-28,92,False
2018-02-04,95,False
2018-02-11,77,False
2018-02-18,74,False
2018-02-25,76,False
2018-03-04,74,False
2018-03-11,89,False
2018-03-18,79,False
2018-03-25,86,False
2018-04-01,78,False
2018-04-08,79,False
2018-04-15,90,False
2018-04-22,92,False
2018-04-29,81,False
2018-05-06,95,False
2018-05-13,84,False
2018-05-20,85,False
2018-05-27,94,False
2018-06-03,100,False
2018-06-10,94,False
2018-06-17,92,False
2018-06-24,83,False
2018-07-01,82,False
2018-07-08,85,False
2018-07-15,91,False
2018-07-22,90,False
2018-07-29,91,False
2018-08-05,90,False
2018-08-12,67,False
2018-08-19,81,False
2018-08-26,87,False
2018-09-02,73,False
2018-09-09,80,False
2018-09-16,72,False
2018-09-23,72,False
2018-09-30,63,False
2018-10-07,78,False
2018-10-14,76,False
2018-10-21,64,False
2018-10-28,63,False
2018-11-04,75,False
2018-11-11,81,False
2018-11-18,59,False
2018-11-25,61,False
2018-12-02,67,False
2018-12-09,72,False
2018-12-16,70,False
2018-12-23,64,False
2018-12-30,65,False
2019-01-06,60,False
2019-01-13,64,False
2019-01-20,66,False
2019-01-27,69,False
2019-02-03,77,False
2019-02-10,72,False
2019-02-17,72,False
2019-02-24,76,False
2019-03-03,68,False
2019-03-10,60,False
2019-03-17,64,False
2019-03-24,68,False
2019-03-31,84,False
2019-04-07,84,False
2019-04-14,89,False
2019-04-21,70,False
2019-04-28,76,False
2019-05-05,68,False
2019-05-12,78,False
2019-05-19,94,False
2019-05-26,84,False
2019-06-02,90,False
2019-06-09,89,False
2019-06-16,86,False
2019-06-23,97,False
2019-06-30,87,False
2019-07-07,80,False
2019-07-14,70,False
2019-07-21,85,False
2019-07-28,75,False
2019-08-04,82,False
2019-08-11,67,False
2019-08-18,71,False
2019-08-25,75,False
2019-09-01,82,False
2019-09-08,71,False
2019-09-15,65,False
2019-09-22,68,False
2019-09-29,71,False
2019-10-06,62,False
2019-10-13,67,False
2019-10-20,70,False
2019-10-27,66,False
2019-11-03,68,False
2019-11-10,63,False
2019-11-17,66,False
2019-11-24,63,False
2019-12-01,66,False
2019-12-08,65,False
2019-12-15,76,False
2019-12-22,72,False
2019-12-29,64,False
2020-01-05,61,False
2020-01-12,65,False
2020-01-19,76,False
2020-01-26,65,False
2020-02-02,67,False
2020-02-09,66,False
2020-02-16,67,False
2020-02-23,59,False
2020-03-01,57,False
2020-03-08,24,False
2020-03-15,31,False
2020-03-22,36,False
2020-03-29,37,False
2020-04-05,43,False
2020-04-12,53,False
2020-04-19,46,False
2020-04-26,47,True
