geoName,geoCode,Granitsteine
Baden-Württemberg,DE-BW,49
Bavaria,DE-BY,87
Berlin,DE-BE,28
Brandenburg,DE-BB,92
Bremen,DE-HB,62
Hamburg,DE-HH,29
Hesse,DE-HE,17
Lower Saxony,DE-NI,86
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,28
Rhineland-Palatinate,DE-RP,24
Saarland,DE-SL,24
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,30
Schleswig-Holstein,DE-SH,98
Thuringia,DE-TH,26
