geoName,geoCode,Raffstore
Burgenland,AT-1,29
Carinthia,AT-2,93
Lower Austria,AT-3,44
Salzburg,AT-5,100
Styria,AT-6,68
Tyrol,AT-7,40
Upper Austria,AT-4,84
Vienna,AT-9,55
Vorarlberg,AT-8,60
