geoName,geoCode,Lebensmittelversand
Baden-Württemberg,DE-BW,24
Bavaria,DE-BY,27
Berlin,DE-BE,0
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,42
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,16
Rhineland-Palatinate,DE-RP,100
Saarland,DE-SL,0
Saxony,DE-SN,51
Saxony-Anhalt,DE-ST,0
Schleswig-Holstein,DE-SH,0
Thuringia,DE-TH,0
