geoName,geoCode,Zimmerei
Baden-Württemberg,DE-BW,61
Bavaria,DE-BY,100
Berlin,DE-BE,11
Brandenburg,DE-BB,32
Bremen,DE-HB,33
Hamburg,DE-HH,31
Hesse,DE-HE,25
Lower Saxony,DE-NI,59
Mecklenburg-Vorpommern,DE-MV,31
North Rhine-Westphalia,DE-NW,27
Rhineland-Palatinate,DE-RP,33
Saarland,DE-SL,11
Saxony,DE-SN,43
Saxony-Anhalt,DE-ST,20
Schleswig-Holstein,DE-SH,100
Thuringia,DE-TH,48
