geoName,geoCode,Zimmerei
Burgenland,AT-1,84
Carinthia,AT-2,39
Lower Austria,AT-3,51
Salzburg,AT-5,100
Styria,AT-6,39
Tyrol,AT-7,78
Upper Austria,AT-4,51
Vienna,AT-9,21
Vorarlberg,AT-8,54
