geoName,geoCode,Vordach
Burgenland,AT-1,72
Carinthia,AT-2,52
Lower Austria,AT-3,85
Salzburg,AT-5,89
Styria,AT-6,69
Tyrol,AT-7,52
Upper Austria,AT-4,61
Vienna,AT-9,51
Vorarlberg,AT-8,100
