ticket_taxonomy_tag_name,ticket_geo_region_name,Year,Month,Index_percentage,Country_chosen
Nutrizionista,Abruzzo,2019,0,0.04,0
Nutrizionista,Abruzzo,2019,1,0.07,0
Nutrizionista,Abruzzo,2019,2,0.08,0
Nutrizionista,Abruzzo,2019,3,0.09,0
Nutrizionista,Abruzzo,2019,4,0.1,0
Nutrizionista,Abruzzo,2019,5,0.07,0
Nutrizionista,Abruzzo,2019,6,0.05,0
Nutrizionista,Abruzzo,2019,7,0.08,0
Nutrizionista,Abruzzo,2019,8,0.09,0
Nutrizionista,Abruzzo,2019,9,0.07,0
Nutrizionista,Abruzzo,2019,10,0.06,0
Nutrizionista,Abruzzo,2019,11,0.04,0
Nutrizionista,Abruzzo,2020,3,0.03,0
Nutrizionista,Abruzzo,2020,2,0.03,0
Nutrizionista,Abruzzo,2020,1,0.07,0
Nutrizionista,Abruzzo,2020,0,0.12,0
Nutrizionista,Basilicata,2019,0,0.01,0
Nutrizionista,Basilicata,2019,1,0.02,0
Nutrizionista,Basilicata,2019,2,0.03,0
Nutrizionista,Basilicata,2019,3,0.01,0
Nutrizionista,Basilicata,2019,4,0.02,0
Nutrizionista,Basilicata,2019,5,0.01,0
Nutrizionista,Basilicata,2019,6,0.02,0
Nutrizionista,Basilicata,2019,7,0.02,0
Nutrizionista,Basilicata,2019,8,0.02,0
Nutrizionista,Basilicata,2019,9,0.02,0
Nutrizionista,Basilicata,2019,10,0.02,0
Nutrizionista,Basilicata,2019,11,0.01,0
Nutrizionista,Basilicata,2020,3,0,0
Nutrizionista,Basilicata,2020,2,0.01,0
Nutrizionista,Basilicata,2020,1,0.01,0
Nutrizionista,Basilicata,2020,0,0.02,0
Nutrizionista,Calabria,2019,0,0.04,0
Nutrizionista,Calabria,2019,1,0.05,0
Nutrizionista,Calabria,2019,2,0.09,0
Nutrizionista,Calabria,2019,3,0.1,0
Nutrizionista,Calabria,2019,4,0.08,0
Nutrizionista,Calabria,2019,5,0.08,0
Nutrizionista,Calabria,2019,6,0.06,0
Nutrizionista,Calabria,2019,7,0.07,0
Nutrizionista,Calabria,2019,8,0.09,0
Nutrizionista,Calabria,2019,9,0.08,0
Nutrizionista,Calabria,2019,10,0.05,0
Nutrizionista,Calabria,2019,11,0.04,0
Nutrizionista,Calabria,2020,3,0.02,0
Nutrizionista,Calabria,2020,2,0.04,0
Nutrizionista,Calabria,2020,1,0.06,0
Nutrizionista,Calabria,2020,0,0.08,0
Nutrizionista,Campania,2019,0,0.13,0
Nutrizionista,Campania,2019,1,0.14,0
Nutrizionista,Campania,2019,2,0.29,0
Nutrizionista,Campania,2019,3,0.27,0
Nutrizionista,Campania,2019,4,0.35,0
Nutrizionista,Campania,2019,5,0.2,0
Nutrizionista,Campania,2019,6,0.15,0
Nutrizionista,Campania,2019,7,0.18,0
Nutrizionista,Campania,2019,8,0.31,0
