ticket_taxonomy_tag_name,ticket_geo_region_name,Year,Month,Distribution_of_tickets
Nutrizionista,Abruzzo,2019,0,0.05
Nutrizionista,Abruzzo,2019,1,0.09
Nutrizionista,Abruzzo,2019,2,0.09
Nutrizionista,Abruzzo,2019,3,0.10
Nutrizionista,Abruzzo,2019,4,0.12
Nutrizionista,Abruzzo,2019,5,0.08
Nutrizionista,Abruzzo,2019,6,0.06
Nutrizionista,Abruzzo,2019,7,0.09
Nutrizionista,Abruzzo,2019,8,0.11
Nutrizionista,Abruzzo,2019,9,0.08
Nutrizionista,Abruzzo,2019,10,0.07
Nutrizionista,Abruzzo,2019,11,0.04
Nutrizionista,Abruzzo,2020,0,0.47
Nutrizionista,Abruzzo,2020,1,0.29
Nutrizionista,Abruzzo,2020,2,0.12
Nutrizionista,Abruzzo,2020,3,0.12
Nutrizionista,Basilicata,2019,0,0.05
Nutrizionista,Basilicata,2019,1,0.10
Nutrizionista,Basilicata,2019,2,0.13
Nutrizionista,Basilicata,2019,3,0.07
Nutrizionista,Basilicata,2019,4,0.10
Nutrizionista,Basilicata,2019,5,0.07
Nutrizionista,Basilicata,2019,6,0.08
Nutrizionista,Basilicata,2019,7,0.09
Nutrizionista,Basilicata,2019,8,0.11
Nutrizionista,Basilicata,2019,9,0.09
Nutrizionista,Basilicata,2019,10,0.10
Nutrizionista,Basilicata,2019,11,0.03
Nutrizionista,Basilicata,2020,0,0.53
Nutrizionista,Basilicata,2020,1,0.26
Nutrizionista,Basilicata,2020,2,0.15
Nutrizionista,Basilicata,2020,3,0.06
Nutrizionista,Calabria,2019,0,0.04
Nutrizionista,Calabria,2019,1,0.06
Nutrizionista,Calabria,2019,2,0.11
Nutrizionista,Calabria,2019,3,0.12
Nutrizionista,Calabria,2019,4,0.10
Nutrizionista,Calabria,2019,5,0.10
Nutrizionista,Calabria,2019,6,0.07
Nutrizionista,Calabria,2019,7,0.09
Nutrizionista,Calabria,2019,8,0.11
Nutrizionista,Calabria,2019,9,0.10
Nutrizionista,Calabria,2019,10,0.06
Nutrizionista,Calabria,2019,11,0.05
Nutrizionista,Calabria,2020,0,0.42
Nutrizionista,Calabria,2020,1,0.31
Nutrizionista,Calabria,2020,2,0.18
Nutrizionista,Calabria,2020,3,0.08
Nutrizionista,Campania,2019,0,0.05
Nutrizionista,Campania,2019,1,0.05
Nutrizionista,Campania,2019,2,0.11
Nutrizionista,Campania,2019,3,0.11
Nutrizionista,Campania,2019,4,0.14
Nutrizionista,Campania,2019,5,0.08
Nutrizionista,Campania,2019,6,0.06
Nutrizionista,Campania,2019,7,0.07
Nutrizionista,Campania,2019,8,0.12
Nutrizionista,Campania,2019,9,0.10
Nutrizionista,Campania,2019,10,0.06
Nutrizionista,Campania,2019,11,0.04
Nutrizionista,Campania,2020,0,0.47
Nutrizionista,Campania,2020,1,0.27
Nutrizionista,Campania,2020,2,0.17
Nutrizionista,Campania,2020,3,0.09
Nutrizionista,Emilia-Romagna,2019,0,0.06
Nutrizionista,Emilia-Romagna,2019,1,0.08
Nutrizionista,Emilia-Romagna,2019,2,0.10
Nutrizionista,Emilia-Romagna,2019,3,0.09
Nutrizionista,Emilia-Romagna,2019,4,0.12
Nutrizionista,Emilia-Romagna,2019,5,0.10
Nutrizionista,Emilia-Romagna,2019,6,0.06
Nutrizionista,Emilia-Romagna,2019,7,0.07
Nutrizionista,Emilia-Romagna,2019,8,0.10
Nutrizionista,Emilia-Romagna,2019,9,0.09
Nutrizionista,Emilia-Romagna,2019,10,0.07
Nutrizionista,Emilia-Romagna,2019,11,0.05
Nutrizionista,Emilia-Romagna,2020,0,0.48
Nutrizionista,Emilia-Romagna,2020,1,0.30
Nutrizionista,Emilia-Romagna,2020,2,0.13
Nutrizionista,Emilia-Romagna,2020,3,0.08
