,geoName,insert cheminée
3,Brittany,50.0
5,Centre-Val de Loire,60.0
7,Corsica,100.0
15,Pays de la Loire,40.0
18,Provence-Alpes-Côte d'Azur,39.0
21,Île-de-France,25.0
22,Grand-est,31.333333333333332
23,Hauts-de-france,47.0
24,Normandie,46.0
25,Bourgogne-Franche-Comté,44.5
26,Nouvelle-Aquitaine,51.0
27,Occitanie,38.0
28,Auvergne-Rhône-Alpes,37.5
