date,Schornsteinfeger Innung,isPartial
2018-01-07,26,False
2018-01-14,39,False
2018-01-21,26,False
2018-01-28,52,False
2018-02-04,44,False
2018-02-11,71,False
2018-02-18,54,False
2018-02-25,35,False
2018-03-04,61,False
2018-03-11,61,False
2018-03-18,62,False
2018-03-25,28,False
2018-04-01,28,False
2018-04-08,36,False
2018-04-15,28,False
2018-04-22,80,False
2018-04-29,28,False
2018-05-06,28,False
2018-05-13,44,False
2018-05-20,57,False
2018-05-27,68,False
2018-06-03,27,False
2018-06-10,43,False
2018-06-17,39,False
2018-06-24,54,False
2018-07-01,53,False
2018-07-08,40,False
2018-07-15,56,False
2018-07-22,55,False
2018-07-29,46,False
2018-08-05,63,False
2018-08-12,70,False
2018-08-19,69,False
2018-08-26,100,False
2018-09-02,40,False
2018-09-09,80,False
2018-09-16,98,False
2018-09-23,98,False
2018-09-30,53,False
2018-10-07,53,False
2018-10-14,27,False
2018-10-21,88,False
2018-10-28,26,False
2018-11-04,76,False
2018-11-11,70,False
2018-11-18,67,False
2018-11-25,34,False
2018-12-02,26,False
2018-12-09,52,False
2018-12-16,40,False
2018-12-23,61,False
2018-12-30,56,False
2019-01-06,62,False
2019-01-13,57,False
2019-01-20,64,False
2019-01-27,89,False
2019-02-03,99,False
2019-02-10,42,False
2019-02-17,63,False
2019-02-24,51,False
2019-03-03,74,False
2019-03-10,25,False
2019-03-17,43,False
2019-03-24,51,False
2019-03-31,90,False
2019-04-07,25,False
2019-04-14,0,False
2019-04-21,36,False
2019-04-28,63,False
2019-05-05,61,False
2019-05-12,38,False
2019-05-19,75,False
2019-05-26,52,False
2019-06-02,25,False
2019-06-09,64,False
2019-06-16,26,False
2019-06-23,51,False
2019-06-30,38,False
2019-07-07,34,False
2019-07-14,61,False
2019-07-21,55,False
2019-07-28,67,False
2019-08-04,63,False
2019-08-11,89,False
2019-08-18,26,False
2019-08-25,76,False
2019-09-01,83,False
2019-09-08,63,False
2019-09-15,42,False
2019-09-22,49,False
2019-09-29,58,False
2019-10-06,49,False
2019-10-13,36,False
2019-10-20,56,False
2019-10-27,64,False
2019-11-03,46,False
2019-11-10,78,False
2019-11-17,70,False
2019-11-24,77,False
2019-12-01,39,False
2019-12-08,47,False
2019-12-15,40,False
2019-12-22,0,False
2019-12-29,38,False
2020-01-05,76,False
2020-01-12,22,False
2020-01-19,45,False
2020-01-26,56,False
2020-02-02,45,False
2020-02-09,73,False
2020-02-16,30,False
2020-02-23,51,False
2020-03-01,58,False
2020-03-08,92,False
2020-03-15,40,False
2020-03-22,40,False
2020-03-29,30,False
2020-04-05,33,False
2020-04-12,32,False
2020-04-19,48,False
2020-04-26,50,False
2020-05-03,67,False
2020-05-10,47,False
