geoName,geoCode,Insektenschutzgitter
Burgenland,AT-1,100
Carinthia,AT-2,36
Lower Austria,AT-3,64
Salzburg,AT-5,54
Styria,AT-6,50
Tyrol,AT-7,20
Upper Austria,AT-4,42
Vienna,AT-9,32
Vorarlberg,AT-8,80
