,geoName,bouquet mariée
3,Brittany,38.57142857142858
5,Centre-Val de Loire,100.0
7,Corsica,0.0
15,Pays de la Loire,45.714285714285715
18,Provence-Alpes-Côte d'Azur,80.0
21,Île-de-France,55.714285714285715
22,Grand-est,82.85714285714286
23,Hauts-de-france,67.85714285714286
24,Normandie,89.28571428571429
25,Bourgogne-Franche-Comté,85.0
26,Nouvelle-Aquitaine,80.0
27,Occitanie,67.14285714285714
28,Auvergne-Rhône-Alpes,80.71428571428572
