geoName,geoCode,Catering
Andalusia,ES-AN,100
Aragon,ES-AR,57
Asturias,ES-AS,46
Balearic Islands,ES-IB,80
Basque Country,ES-PV,41
Canary Islands,ES-CN,72
Cantabria,ES-CB,47
Castile and León,ES-CL,62
Castile-La Mancha,ES-CM,48
Catalonia,ES-CT,88
Ceuta,ES-CE,0
Community of Madrid,ES-MD,100
Extremadura,ES-EX,58
Galicia,ES-GA,44
La Rioja,ES-RI,40
Melilla,ES-ML,0
Navarre,ES-NC,46
Region of Murcia,ES-MC,48
Valencian Community,ES-VC,56
