date,catering,isPartial
2018-01-07,47,False
2018-01-14,48,False
2018-01-21,53,False
2018-01-28,75,False
2018-02-04,47,False
2018-02-11,44,False
2018-02-18,58,False
2018-02-25,61,False
2018-03-04,48,False
2018-03-11,50,False
2018-03-18,45,False
2018-03-25,31,False
2018-04-01,56,False
2018-04-08,58,False
2018-04-15,56,False
2018-04-22,65,False
2018-04-29,66,False
2018-05-06,54,False
2018-05-13,53,False
2018-05-20,62,False
2018-05-27,55,False
2018-06-03,61,False
2018-06-10,61,False
2018-06-17,55,False
2018-06-24,43,False
2018-07-01,49,False
2018-07-08,57,False
2018-07-15,51,False
2018-07-22,67,False
2018-07-29,54,False
2018-08-05,39,False
2018-08-12,41,False
2018-08-19,40,False
2018-08-26,58,False
2018-09-02,50,False
2018-09-09,85,False
2018-09-16,64,False
2018-09-23,72,False
2018-09-30,79,False
2018-10-07,52,False
2018-10-14,61,False
2018-10-21,61,False
2018-10-28,64,False
2018-11-04,67,False
2018-11-11,55,False
2018-11-18,34,False
2018-11-25,55,False
2018-12-02,40,False
2018-12-09,68,False
2018-12-16,51,False
2018-12-23,37,False
2018-12-30,38,False
2019-01-06,45,False
2019-01-13,55,False
2019-01-20,52,False
2019-01-27,49,False
2019-02-03,64,False
2019-02-10,41,False
2019-02-17,60,False
2019-02-24,50,False
2019-03-03,57,False
2019-03-10,50,False
2019-03-17,60,False
2019-03-24,50,False
2019-03-31,55,False
2019-04-07,50,False
2019-04-14,35,False
2019-04-21,65,False
2019-04-28,50,False
2019-05-05,68,False
2019-05-12,87,False
2019-05-19,58,False
2019-05-26,100,False
2019-06-02,67,False
2019-06-09,73,False
2019-06-16,66,False
2019-06-23,51,False
2019-06-30,45,False
2019-07-07,50,False
2019-07-14,62,False
2019-07-21,46,False
2019-07-28,45,False
2019-08-04,53,False
2019-08-11,40,False
2019-08-18,40,False
2019-08-25,51,False
2019-09-01,60,False
2019-09-08,81,False
2019-09-15,77,False
2019-09-22,87,False
2019-09-29,94,False
2019-10-06,79,False
2019-10-13,66,False
2019-10-20,75,False
2019-10-27,69,False
2019-11-03,67,False
2019-11-10,60,False
2019-11-17,69,False
2019-11-24,62,False
2019-12-01,50,False
2019-12-08,44,False
2019-12-15,62,False
2019-12-22,37,False
2019-12-29,33,False
2020-01-05,61,False
2020-01-12,69,False
2020-01-19,58,False
2020-01-26,64,False
2020-02-02,61,False
2020-02-09,54,False
2020-02-16,53,False
2020-02-23,51,False
2020-03-01,63,False
2020-03-08,66,False
2020-03-15,23,False
2020-03-22,20,False
2020-03-29,23,False
2020-04-05,17,False
2020-04-12,9,True
