geoName,geoCode,catering
Abruzzo,IT-65,48
Aosta,IT-23,0
Apulia,IT-75,27
Basilicata,IT-77,20
Calabria,IT-78,18
Campania,IT-72,39
Emilia-Romagna,IT-45,45
Friuli-Venezia Giulia,IT-36,63
Lazio,IT-62,76
Liguria,IT-42,77
Lombardy,IT-25,52
Marche,IT-57,32
Molise,IT-67,45
Piedmont,IT-21,100
Sardinia,IT-88,78
Sicily,IT-82,65
Trentino-Alto Adige/South Tyrol,IT-32,67
Tuscany,IT-52,61
Umbria,IT-55,35
Veneto,IT-34,61
