date,Gärtner,isPartial
2018-01-07,48,False
2018-01-14,30,False
2018-01-21,25,False
2018-01-28,29,False
2018-02-04,26,False
2018-02-11,37,False
2018-02-18,30,False
2018-02-25,27,False
2018-03-04,38,False
2018-03-11,40,False
2018-03-18,42,False
2018-03-25,67,False
2018-04-01,50,False
2018-04-08,52,False
2018-04-15,64,False
2018-04-22,67,False
2018-04-29,48,False
2018-05-06,40,False
2018-05-13,70,False
2018-05-20,48,False
2018-05-27,37,False
2018-06-03,33,False
2018-06-10,39,False
2018-06-17,21,False
2018-06-24,49,False
2018-07-01,43,False
2018-07-08,33,False
2018-07-15,38,False
2018-07-22,33,False
2018-07-29,33,False
2018-08-05,34,False
2018-08-12,39,False
2018-08-19,46,False
2018-08-26,51,False
2018-09-02,55,False
2018-09-09,30,False
2018-09-16,37,False
2018-09-23,37,False
2018-09-30,46,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,53,False
2018-10-28,36,False
2018-11-04,27,False
2018-11-11,33,False
2018-11-18,27,False
2018-11-25,39,False
2018-12-02,34,False
2018-12-09,19,False
2018-12-16,37,False
2018-12-23,19,False
2018-12-30,18,False
2019-01-06,43,False
2019-01-13,20,False
2019-01-20,36,False
2019-01-27,27,False
2019-02-03,37,False
2019-02-10,34,False
2019-02-17,41,False
2019-02-24,46,False
2019-03-03,49,False
2019-03-10,48,False
2019-03-17,58,False
2019-03-24,36,False
2019-03-31,34,False
2019-04-07,59,False
2019-04-14,100,False
2019-04-21,59,False
2019-04-28,53,False
2019-05-05,34,False
2019-05-12,48,False
2019-05-19,34,False
2019-05-26,35,False
2019-06-02,37,False
2019-06-09,29,False
2019-06-16,50,False
2019-06-23,39,False
2019-06-30,24,False
2019-07-07,46,False
2019-07-14,47,False
2019-07-21,48,False
2019-07-28,16,False
2019-08-04,24,False
2019-08-11,30,False
2019-08-18,27,False
2019-08-25,33,False
2019-09-01,29,False
2019-09-08,30,False
2019-09-15,23,False
2019-09-22,21,False
2019-09-29,22,False
2019-10-06,35,False
2019-10-13,30,False
2019-10-20,22,False
2019-10-27,24,False
2019-11-03,26,False
2019-11-10,23,False
2019-11-17,35,False
2019-11-24,35,False
2019-12-01,31,False
2019-12-08,38,False
2019-12-15,28,False
2019-12-22,20,False
2019-12-29,12,False
2020-01-05,32,False
2020-01-12,36,False
2020-01-19,29,False
2020-01-26,16,False
2020-02-02,36,False
2020-02-09,28,False
2020-02-16,47,False
2020-02-23,29,False
2020-03-01,24,False
2020-03-08,34,False
2020-03-15,45,False
2020-03-22,37,False
2020-03-29,56,False
2020-04-05,56,False
2020-04-12,64,False
2020-04-19,75,False
2020-04-26,55,False
2020-05-03,52,False
2020-05-10,50,False
2020-05-17,44,False
2020-05-24,38,False
2020-05-31,37,False
2020-06-07,43,False
2020-06-14,45,False
2020-06-21,43,False
2020-06-28,38,False
2020-07-05,40,False
