geoName,geoCode,Gärtner
Burgenland,AT-1,93
Carinthia,AT-2,46
Lower Austria,AT-3,100
Salzburg,AT-5,43
Styria,AT-6,48
Tyrol,AT-7,57
Upper Austria,AT-4,64
Vienna,AT-9,54
Vorarlberg,AT-8,60
