geoName,geoCode,apprendre anglais,Cours de yoga,jardiner,Coach sportif,Cours de cuisine
Alsace,FR-A,13,12,47,22,6
Aquitaine,FR-B,11,12,49,22,6
Auvergne,FR-C,7,8,76,7,2
Brittany,FR-E,14,12,50,19,5
Burgundy,FR-D,8,8,66,14,4
Centre-Val de Loire,FR-F,11,10,57,16,6
Champagne-Ardenne,FR-G,8,8,63,18,3
Corsica,FR-H,15,15,28,35,7
Franche-Comté,FR-I,10,8,60,19,3
Languedoc-Roussillon,FR-K,13,17,44,21,5
Limousin,FR-L,5,7,61,20,7
Lorraine,FR-M,10,8,58,18,6
Lower Normandy,FR-P,12,6,64,15,3
Midi-Pyrénées,FR-N,10,10,62,15,3
Nord-Pas-de-Calais,FR-O,14,9,47,25,5
Pays de la Loire,FR-R,9,9,60,15,7
Picardy,FR-S,16,13,53,16,2
Poitou-Charentes,FR-T,8,7,70,15,0
Provence-Alpes-Côte d'Azur,FR-U,17,20,28,28,7
Rhone-Alpes,FR-V,12,12,50,19,7
Upper Normandy,FR-Q,15,11,51,20,3
Île-de-France,FR-J,22,18,19,31,10
