date,apprendre anglais,Cours de yoga,jardiner,Coach sportif,Cours de cuisine,isPartial
2018-01-07,24,0,14,28,28,False
2018-01-14,42,28,19,23,23,False
2018-01-21,35,21,14,51,42,False
2018-01-28,28,14,23,19,42,False
2018-02-04,19,14,35,28,14,False
2018-02-11,28,14,14,33,35,False
2018-02-18,28,28,35,14,50,False
2018-02-25,21,19,28,14,14,False
2018-03-04,38,0,29,58,22,False
2018-03-11,57,21,43,14,21,False
2018-03-18,29,14,43,43,57,False
2018-03-25,14,29,36,14,33,False
2018-04-01,19,14,24,22,14,False
2018-04-08,36,29,44,29,22,False
2018-04-15,20,0,79,40,15,False
2018-04-22,19,14,42,28,14,False
2018-04-29,25,23,100,20,23,False
2018-05-06,15,15,25,35,45,False
2018-05-13,22,15,50,40,30,False
2018-05-20,15,0,45,25,20,False
2018-05-27,14,14,53,36,0,False
2018-06-03,14,14,38,28,50,False
2018-06-10,34,21,18,18,23,False
2018-06-17,37,15,25,20,29,False
2018-06-24,15,15,35,20,15,False
2018-07-01,0,35,35,14,14,False
2018-07-08,24,15,25,30,15,False
2018-07-15,22,25,45,30,0,False
2018-07-22,15,0,15,15,15,False
2018-07-29,29,14,19,29,14,False
2018-08-05,14,14,24,24,14,False
2018-08-12,14,28,35,24,19,False
2018-08-19,14,43,21,0,21,False
2018-08-26,19,47,24,24,28,False
2018-09-02,19,29,29,39,14,False
2018-09-09,37,29,24,29,15,False
2018-09-16,33,33,14,24,29,False
2018-09-23,29,34,24,29,36,False
2018-09-30,19,22,15,24,59,False
2018-10-07,29,15,15,25,44,False
2018-10-14,15,15,15,40,15,False
2018-10-21,15,20,22,22,15,False
2018-10-28,14,14,22,29,29,False
2018-11-04,28,14,28,19,23,False
2018-11-11,29,29,22,24,29,False
2018-11-18,14,36,14,24,29,False
2018-11-25,28,28,28,47,33,False
2018-12-02,19,21,21,21,28,False
2018-12-09,15,15,0,15,44,False
2018-12-16,15,30,15,30,64,False
2018-12-23,16,16,32,27,32,False
2018-12-30,62,30,15,38,15,False
2019-01-06,14,29,14,19,14,False
2019-01-13,14,19,14,43,14,False
2019-01-20,28,14,21,35,14,False
2019-01-27,41,21,21,42,37,False
2019-02-03,42,14,21,14,24,False
2019-02-10,30,25,45,30,30,False
2019-02-17,30,22,30,30,15,False
2019-02-24,21,0,66,24,24,False
2019-03-03,28,0,55,37,18,False
2019-03-10,19,29,93,29,24,False
2019-03-17,15,0,63,34,15,False
2019-03-24,15,22,64,22,15,False
2019-03-31,14,15,63,29,14,False
2019-04-07,15,15,60,15,23,False
2019-04-14,15,15,59,15,22,False
2019-04-21,14,23,70,28,19,False
2019-04-28,21,14,55,14,21,False
2019-05-05,27,14,50,27,21,False
2019-05-12,22,14,73,15,0,False
2019-05-19,28,14,67,14,21,False
2019-05-26,14,21,37,19,21,False
2019-06-02,0,20,44,46,59,False
2019-06-09,13,27,13,13,13,False
2019-06-16,21,28,35,14,14,False
2019-06-23,14,14,32,41,28,False
2019-06-30,28,14,24,21,28,False
2019-07-07,21,14,49,23,28,False
2019-07-14,14,21,45,34,14,False
2019-07-21,0,35,28,19,14,False
2019-07-28,14,0,32,28,14,False
2019-08-04,26,13,31,13,13,False
2019-08-11,25,25,17,21,13,False
2019-08-18,21,14,32,28,50,False
2019-08-25,33,26,13,26,20,False
2019-09-01,40,36,13,22,33,False
2019-09-08,33,20,13,18,13,False
2019-09-15,22,36,18,34,53,False
2019-09-22,13,19,26,34,17,False
2019-09-29,45,32,19,32,32,False
2019-10-06,13,19,0,13,39,False
2019-10-13,13,39,13,52,19,False
2019-10-20,19,13,13,30,21,False
2019-10-27,36,18,18,36,32,False
2019-11-03,25,12,0,25,25,False
2019-11-10,25,25,13,34,13,False
2019-11-17,25,19,0,31,17,False
2019-11-24,24,36,12,16,36,False
2019-12-01,12,17,12,37,33,False
2019-12-08,29,12,0,29,66,False
2019-12-15,19,0,0,17,54,False
2019-12-22,20,13,13,31,47,False
2019-12-29,13,20,13,39,13,False
2020-01-05,18,18,12,20,36,False
2020-01-12,16,35,18,36,12,False
2020-01-19,29,17,12,21,41,False
2020-01-26,24,12,12,56,24,False
2020-02-02,12,24,36,36,16,False
2020-02-09,0,12,20,36,12,False
2020-02-16,12,16,18,40,0,False
2020-02-23,12,12,31,24,12,False
2020-03-01,17,23,23,27,23,False
2020-03-08,23,11,38,23,11,False
2020-03-15,17,20,71,30,10,False
2020-03-22,30,43,59,10,10,False
2020-03-29,29,39,88,36,13,False
2020-04-05,33,36,88,36,20,False
2020-04-12,24,20,95,31,10,False
2020-04-19,25,35,93,40,10,False
2020-04-26,15,9,58,15,14,False
2020-05-03,33,19,95,29,9,False
2020-05-10,10,10,59,21,10,False
2020-05-17,11,22,71,19,11,False
2020-05-24,11,11,11,22,11,False
2020-05-31,16,16,41,26,21,False
2020-06-07,15,14,47,41,20,False
2020-06-14,23,24,55,47,0,True
