geoName,geoCode,sommelier
Abruzzo,IT-65,63
Aosta,IT-23,90
Apulia,IT-75,49
Basilicata,IT-77,54
Calabria,IT-78,46
Campania,IT-72,65
Emilia-Romagna,IT-45,75
Friuli-Venezia Giulia,IT-36,69
Lazio,IT-62,72
Liguria,IT-42,100
Lombardy,IT-25,69
Marche,IT-57,53
Molise,IT-67,69
Piedmont,IT-21,94
Sardinia,IT-88,58
Sicily,IT-82,60
Trentino-Alto Adige/South Tyrol,IT-32,89
Tuscany,IT-52,85
Umbria,IT-55,60
Veneto,IT-34,74
