date,plombier,isPartial
2018-01-07,61,False
2018-01-14,74,False
2018-01-21,62,False
2018-01-28,62,False
2018-02-04,61,False
2018-02-11,62,False
2018-02-18,61,False
2018-02-25,86,False
2018-03-04,74,False
2018-03-11,75,False
2018-03-18,48,False
2018-03-25,71,False
2018-04-01,60,False
2018-04-08,63,False
2018-04-15,77,False
2018-04-22,44,False
2018-04-29,67,False
2018-05-06,52,False
2018-05-13,68,False
2018-05-20,49,False
2018-05-27,53,False
2018-06-03,74,False
2018-06-10,71,False
2018-06-17,64,False
2018-06-24,55,False
2018-07-01,74,False
2018-07-08,62,False
2018-07-15,59,False
2018-07-22,72,False
2018-07-29,57,False
2018-08-05,91,False
2018-08-12,48,False
2018-08-19,75,False
2018-08-26,72,False
2018-09-02,59,False
2018-09-09,58,False
2018-09-16,72,False
2018-09-23,72,False
2018-09-30,89,False
2018-10-07,78,False
2018-10-14,78,False
2018-10-21,84,False
2018-10-28,75,False
2018-11-04,73,False
2018-11-11,64,False
2018-11-18,74,False
2018-11-25,67,False
2018-12-02,70,False
2018-12-09,68,False
2018-12-16,58,False
2018-12-23,78,False
2018-12-30,59,False
2019-01-06,87,False
2019-01-13,79,False
2019-01-20,59,False
2019-01-27,75,False
2019-02-03,73,False
2019-02-10,68,False
2019-02-17,65,False
2019-02-24,75,False
2019-03-03,68,False
2019-03-10,74,False
2019-03-17,71,False
2019-03-24,65,False
2019-03-31,65,False
2019-04-07,66,False
2019-04-14,73,False
2019-04-21,62,False
2019-04-28,55,False
2019-05-05,71,False
2019-05-12,54,False
2019-05-19,61,False
2019-05-26,80,False
2019-06-02,66,False
2019-06-09,65,False
2019-06-16,74,False
2019-06-23,66,False
2019-06-30,80,False
2019-07-07,67,False
2019-07-14,74,False
2019-07-21,69,False
2019-07-28,85,False
2019-08-04,74,False
2019-08-11,64,False
2019-08-18,93,False
2019-08-25,80,False
2019-09-01,87,False
2019-09-08,78,False
2019-09-15,87,False
2019-09-22,79,False
2019-09-29,88,False
2019-10-06,85,False
2019-10-13,89,False
2019-10-20,80,False
2019-10-27,81,False
2019-11-03,100,False
2019-11-10,99,False
2019-11-17,90,False
2019-11-24,83,False
2019-12-01,64,False
2019-12-08,74,False
2019-12-15,74,False
2019-12-22,72,False
2019-12-29,71,False
2020-01-05,77,False
2020-01-12,80,False
2020-01-19,71,False
2020-01-26,89,False
2020-02-02,91,False
2020-02-09,87,False
2020-02-16,77,False
2020-02-23,70,False
2020-03-01,84,False
2020-03-08,78,False
2020-03-15,61,False
2020-03-22,44,False
2020-03-29,36,False
2020-04-05,45,False
2020-04-12,42,False
2020-04-19,54,False
2020-04-26,57,False
2020-05-03,49,False
2020-05-10,61,False
2020-05-17,67,True
