date,Plombier,isPartial
2018-01-07,51,False
2018-01-14,25,False
2018-01-21,44,False
2018-01-28,47,False
2018-02-04,30,False
2018-02-11,44,False
2018-02-18,54,False
2018-02-25,42,False
2018-03-04,43,False
2018-03-11,45,False
2018-03-18,32,False
2018-03-25,55,False
2018-04-01,33,False
2018-04-08,35,False
2018-04-15,31,False
2018-04-22,23,False
2018-04-29,48,False
2018-05-06,35,False
2018-05-13,29,False
2018-05-20,56,False
2018-05-27,51,False
2018-06-03,48,False
2018-06-10,68,False
2018-06-17,30,False
2018-06-24,26,False
2018-07-01,47,False
2018-07-08,36,False
2018-07-15,46,False
2018-07-22,60,False
2018-07-29,64,False
2018-08-05,44,False
2018-08-12,42,False
2018-08-19,55,False
2018-08-26,30,False
2018-09-02,54,False
2018-09-09,54,False
2018-09-16,40,False
2018-09-23,44,False
2018-09-30,54,False
2018-10-07,37,False
2018-10-14,78,False
2018-10-21,79,False
2018-10-28,49,False
2018-11-04,38,False
2018-11-11,42,False
2018-11-18,42,False
2018-11-25,29,False
2018-12-02,35,False
2018-12-09,72,False
2018-12-16,60,False
2018-12-23,31,False
2018-12-30,41,False
2019-01-06,58,False
2019-01-13,38,False
2019-01-20,34,False
2019-01-27,25,False
2019-02-03,83,False
2019-02-10,71,False
2019-02-17,61,False
2019-02-24,42,False
2019-03-03,37,False
2019-03-10,45,False
2019-03-17,74,False
2019-03-24,43,False
2019-03-31,36,False
2019-04-07,59,False
2019-04-14,52,False
2019-04-21,54,False
2019-04-28,52,False
2019-05-05,43,False
2019-05-12,45,False
2019-05-19,51,False
2019-05-26,42,False
2019-06-02,48,False
2019-06-09,56,False
2019-06-16,42,False
2019-06-23,60,False
2019-06-30,29,False
2019-07-07,52,False
2019-07-14,64,False
2019-07-21,64,False
2019-07-28,35,False
2019-08-04,39,False
2019-08-11,59,False
2019-08-18,59,False
2019-08-25,44,False
2019-09-01,66,False
2019-09-08,54,False
2019-09-15,72,False
2019-09-22,53,False
2019-09-29,56,False
2019-10-06,50,False
2019-10-13,100,False
2019-10-20,59,False
2019-10-27,82,False
2019-11-03,66,False
2019-11-10,78,False
2019-11-17,64,False
2019-11-24,64,False
2019-12-01,54,False
2019-12-08,54,False
2019-12-15,55,False
2019-12-22,27,False
2019-12-29,41,False
2020-01-05,60,False
2020-01-12,48,False
2020-01-19,51,False
2020-01-26,57,False
2020-02-02,75,False
2020-02-09,49,False
2020-02-16,53,False
2020-02-23,49,False
2020-03-01,63,False
2020-03-08,39,False
2020-03-15,37,False
2020-03-22,24,False
2020-03-29,31,False
2020-04-05,31,False
2020-04-12,41,False
2020-04-19,38,False
2020-04-26,27,False
2020-05-03,36,False
2020-05-10,52,False
2020-05-17,46,True
