geoName,geoCode,Bausanierung
Baden-Württemberg,DE-BW,24
Bavaria,DE-BY,35
Berlin,DE-BE,43
Brandenburg,DE-BB,45
Bremen,DE-HB,0
Hamburg,DE-HH,48
Hesse,DE-HE,22
Lower Saxony,DE-NI,22
Mecklenburg-Vorpommern,DE-MV,75
North Rhine-Westphalia,DE-NW,38
Rhineland-Palatinate,DE-RP,39
Saarland,DE-SL,100
Saxony,DE-SN,53
Saxony-Anhalt,DE-ST,55
Schleswig-Holstein,DE-SH,49
Thuringia,DE-TH,68
