geoName,geoCode,Braut Make Up
Baden-Württemberg,DE-BW,66
Bavaria,DE-BY,32
Berlin,DE-BE,49
Brandenburg,DE-BB,0
Bremen,DE-HB,0
Hamburg,DE-HH,0
Hesse,DE-HE,21
Lower Saxony,DE-NI,33
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,63
Rhineland-Palatinate,DE-RP,22
Saarland,DE-SL,0
Saxony,DE-SN,33
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,60
Thuringia,DE-TH,0
