geoName,geoCode,Treppenhaus
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,31
Salzburg,AT-5,67
Styria,AT-6,28
Tyrol,AT-7,64
Upper Austria,AT-4,26
Vienna,AT-9,37
Vorarlberg,AT-8,100
