date,trucco occhi marroni,isPartial
2018-01-07,32,False
2018-01-14,31,False
2018-01-21,31,False
2018-01-28,61,False
2018-02-04,84,False
2018-02-11,54,False
2018-02-18,15,False
2018-02-25,59,False
2018-03-04,37,False
2018-03-11,61,False
2018-03-18,68,False
2018-03-25,65,False
2018-04-01,50,False
2018-04-08,77,False
2018-04-15,86,False
2018-04-22,65,False
2018-04-29,47,False
2018-05-06,54,False
2018-05-13,31,False
2018-05-20,78,False
2018-05-27,55,False
2018-06-03,71,False
2018-06-10,82,False
2018-06-17,92,False
2018-06-24,78,False
2018-07-01,84,False
2018-07-08,31,False
2018-07-15,71,False
2018-07-22,47,False
2018-07-29,32,False
2018-08-05,25,False
2018-08-12,70,False
2018-08-19,51,False
2018-08-26,64,False
2018-09-02,84,False
2018-09-09,23,False
2018-09-16,67,False
2018-09-23,61,False
2018-09-30,38,False
2018-10-07,54,False
2018-10-14,16,False
2018-10-21,53,False
2018-10-28,75,False
2018-11-04,74,False
2018-11-11,77,False
2018-11-18,76,False
2018-11-25,46,False
2018-12-02,39,False
2018-12-09,47,False
2018-12-16,32,False
2018-12-23,82,False
2018-12-30,50,False
2019-01-06,23,False
2019-01-13,15,False
2019-01-20,51,False
2019-01-27,36,False
2019-02-03,7,False
2019-02-10,22,False
2019-02-17,45,False
2019-02-24,67,False
2019-03-03,39,False
2019-03-10,46,False
2019-03-17,15,False
2019-03-24,54,False
2019-03-31,54,False
2019-04-07,15,False
2019-04-14,55,False
2019-04-21,74,False
2019-04-28,38,False
2019-05-05,96,False
2019-05-12,66,False
2019-05-19,58,False
2019-05-26,50,False
2019-06-02,45,False
2019-06-09,61,False
2019-06-16,54,False
2019-06-23,23,False
2019-06-30,23,False
2019-07-07,38,False
2019-07-14,39,False
2019-07-21,78,False
2019-07-28,16,False
2019-08-04,8,False
2019-08-11,61,False
2019-08-18,33,False
2019-08-25,67,False
2019-09-01,70,False
2019-09-08,22,False
2019-09-15,42,False
2019-09-22,92,False
2019-09-29,57,False
2019-10-06,43,False
2019-10-13,43,False
2019-10-20,42,False
2019-10-27,56,False
2019-11-03,34,False
2019-11-10,42,False
2019-11-17,34,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,29,False
2019-12-15,51,False
2019-12-22,100,False
2019-12-29,64,False
2020-01-05,42,False
2020-01-12,53,False
2020-01-19,13,False
2020-01-26,73,False
2020-02-02,59,False
2020-02-09,7,False
2020-02-16,54,False
2020-02-23,31,False
2020-03-01,25,False
2020-03-08,0,False
2020-03-15,12,False
2020-03-22,11,False
2020-03-29,23,False
2020-04-05,18,False
2020-04-12,18,False
2020-04-19,0,False
2020-04-26,20,True
