geoName,geoCode,recogidos para bodas
Andalusia,ES-AN,25
Aragon,ES-AR,0
Asturias,ES-AS,0
Balearic Islands,ES-IB,0
Basque Country,ES-PV,25
Canary Islands,ES-CN,33
Cantabria,ES-CB,0
Castile and León,ES-CL,25
Castile-La Mancha,ES-CM,100
Catalonia,ES-CT,26
Ceuta,ES-CE,0
Community of Madrid,ES-MD,21
Extremadura,ES-EX,69
Galicia,ES-GA,25
La Rioja,ES-RI,0
Melilla,ES-ML,0
Navarre,ES-NC,0
Region of Murcia,ES-MC,92
Valencian Community,ES-VC,12
