geoName,geoCode,Grundreinigung
Baden-Württemberg,DE-BW,58
Bavaria,DE-BY,55
Berlin,DE-BE,63
Brandenburg,DE-BB,80
Bremen,DE-HB,79
Hamburg,DE-HH,61
Hesse,DE-HE,57
Lower Saxony,DE-NI,49
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,58
Rhineland-Palatinate,DE-RP,38
Saarland,DE-SL,100
Saxony,DE-SN,44
Saxony-Anhalt,DE-ST,33
Schleswig-Holstein,DE-SH,52
Thuringia,DE-TH,44
