date,Schalldämmung,isPartial
2018-01-07,37,False
2018-01-14,44,False
2018-01-21,59,False
2018-01-28,68,False
2018-02-04,30,False
2018-02-11,56,False
2018-02-18,45,False
2018-02-25,23,False
2018-03-04,46,False
2018-03-11,45,False
2018-03-18,92,False
2018-03-25,24,False
2018-04-01,37,False
2018-04-08,31,False
2018-04-15,36,False
2018-04-22,31,False
2018-04-29,40,False
2018-05-06,73,False
2018-05-13,31,False
2018-05-20,25,False
2018-05-27,84,False
2018-06-03,47,False
2018-06-10,45,False
2018-06-17,38,False
2018-06-24,46,False
2018-07-01,23,False
2018-07-08,69,False
2018-07-15,58,False
2018-07-22,35,False
2018-07-29,37,False
2018-08-05,25,False
2018-08-12,26,False
2018-08-19,51,False
2018-08-26,34,False
2018-09-02,73,False
2018-09-09,47,False
2018-09-16,58,False
2018-09-23,55,False
2018-09-30,24,False
2018-10-07,58,False
2018-10-14,61,False
2018-10-21,22,False
2018-10-28,46,False
2018-11-04,29,False
2018-11-11,100,False
2018-11-18,75,False
2018-11-25,66,False
2018-12-02,66,False
2018-12-09,22,False
2018-12-16,34,False
2018-12-23,35,False
2018-12-30,71,False
2019-01-06,50,False
2019-01-13,62,False
2019-01-20,63,False
2019-01-27,35,False
2019-02-03,52,False
2019-02-10,50,False
2019-02-17,22,False
2019-02-24,33,False
2019-03-03,43,False
2019-03-10,49,False
2019-03-17,55,False
2019-03-24,33,False
2019-03-31,21,False
2019-04-07,57,False
2019-04-14,62,False
2019-04-21,23,False
2019-04-28,44,False
2019-05-05,62,False
2019-05-12,29,False
2019-05-19,63,False
2019-05-26,66,False
2019-06-02,44,False
2019-06-09,38,False
2019-06-16,38,False
2019-06-23,55,False
2019-06-30,43,False
2019-07-07,31,False
2019-07-14,55,False
2019-07-21,22,False
2019-07-28,61,False
2019-08-04,36,False
2019-08-11,23,False
2019-08-18,24,False
2019-08-25,32,False
2019-09-01,22,False
2019-09-08,43,False
2019-09-15,55,False
2019-09-22,28,False
2019-09-29,64,False
2019-10-06,31,False
2019-10-13,27,False
2019-10-20,41,False
2019-10-27,41,False
2019-11-03,26,False
2019-11-10,20,False
2019-11-17,20,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,40,False
2019-12-15,28,False
2019-12-22,39,False
2019-12-29,34,False
2020-01-05,20,False
2020-01-12,63,False
2020-01-19,19,False
2020-01-26,76,False
2020-02-02,19,False
2020-02-09,32,False
2020-02-16,27,False
2020-02-23,51,False
2020-03-01,31,False
2020-03-08,23,False
2020-03-15,34,False
2020-03-22,28,False
2020-03-29,34,False
2020-04-05,37,False
2020-04-12,72,False
2020-04-19,23,False
2020-04-26,33,False
2020-05-03,57,False
2020-05-10,40,False
