geoName,geoCode,Schalldämmung
Baden-Württemberg,DE-BW,50
Bavaria,DE-BY,59
Berlin,DE-BE,79
Brandenburg,DE-BB,57
Bremen,DE-HB,42
Hamburg,DE-HH,100
Hesse,DE-HE,50
Lower Saxony,DE-NI,58
Mecklenburg-Vorpommern,DE-MV,40
North Rhine-Westphalia,DE-NW,64
Rhineland-Palatinate,DE-RP,67
Saarland,DE-SL,96
Saxony,DE-SN,29
Saxony-Anhalt,DE-ST,29
Schleswig-Holstein,DE-SH,59
Thuringia,DE-TH,75
