date,foto per matrimonio,isPartial
2018-01-07,30,False
2018-01-14,37,False
2018-01-21,51,False
2018-01-28,72,False
2018-02-04,28,False
2018-02-11,29,False
2018-02-18,28,False
2018-02-25,28,False
2018-03-04,42,False
2018-03-11,50,False
2018-03-18,43,False
2018-03-25,30,False
2018-04-01,47,False
2018-04-08,51,False
2018-04-15,30,False
2018-04-22,53,False
2018-04-29,95,False
2018-05-06,36,False
2018-05-13,94,False
2018-05-20,80,False
2018-05-27,88,False
2018-06-03,51,False
2018-06-10,56,False
2018-06-17,51,False
2018-06-24,51,False
2018-07-01,58,False
2018-07-08,58,False
2018-07-15,37,False
2018-07-22,74,False
2018-07-29,53,False
2018-08-05,69,False
2018-08-12,49,False
2018-08-19,64,False
2018-08-26,97,False
2018-09-02,50,False
2018-09-09,64,False
2018-09-16,56,False
2018-09-23,79,False
2018-09-30,29,False
2018-10-07,22,False
2018-10-14,52,False
2018-10-21,50,False
2018-10-28,50,False
2018-11-04,35,False
2018-11-11,29,False
2018-11-18,28,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,72,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,15,False
2019-01-13,49,False
2019-01-20,75,False
2019-01-27,33,False
2019-02-03,14,False
2019-02-10,35,False
2019-02-17,56,False
2019-02-24,42,False
2019-03-03,22,False
2019-03-10,50,False
2019-03-17,15,False
2019-03-24,44,False
2019-03-31,14,False
2019-04-07,57,False
2019-04-14,37,False
2019-04-21,54,False
2019-04-28,57,False
2019-05-05,76,False
2019-05-12,62,False
2019-05-19,69,False
2019-05-26,53,False
2019-06-02,100,False
2019-06-09,79,False
2019-06-16,29,False
2019-06-23,44,False
2019-06-30,44,False
2019-07-07,63,False
2019-07-14,29,False
2019-07-21,52,False
2019-07-28,52,False
2019-08-04,69,False
2019-08-11,16,False
2019-08-18,38,False
2019-08-25,42,False
2019-09-01,85,False
2019-09-08,75,False
2019-09-15,46,False
2019-09-22,86,False
2019-09-29,34,False
2019-10-06,41,False
2019-10-13,41,False
2019-10-20,39,False
2019-10-27,13,False
2019-11-03,13,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,13,False
2019-12-01,13,False
2019-12-08,27,False
2019-12-15,40,False
2019-12-22,63,False
2019-12-29,30,False
2020-01-05,13,False
2020-01-12,19,False
2020-01-19,31,False
2020-01-26,12,False
2020-02-02,37,False
2020-02-09,32,False
2020-02-16,25,False
2020-02-23,24,False
2020-03-01,35,False
2020-03-08,23,False
2020-03-15,17,False
2020-03-22,11,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,17,False
2020-04-19,22,False
2020-04-26,38,True
