geoName,geoCode,corporativo
Andalusia,ES-AN,100
Aragon,ES-AR,8
Asturias,ES-AS,10
Balearic Islands,ES-IB,5
Basque Country,ES-PV,3
Canary Islands,ES-CN,18
Cantabria,ES-CB,6
Castile and León,ES-CL,6
Castile-La Mancha,ES-CM,6
Catalonia,ES-CT,7
Ceuta,ES-CE,32
Community of Madrid,ES-MD,23
Extremadura,ES-EX,14
Galicia,ES-GA,10
La Rioja,ES-RI,3
Melilla,ES-ML,0
Navarre,ES-NC,11
Region of Murcia,ES-MC,7
Valencian Community,ES-VC,5
