geoName,geoCode,Pizzica
Abruzzo,IT-65,41
Aosta,IT-23,0
Apulia,IT-75,81
Basilicata,IT-77,100
Calabria,IT-78,38
Campania,IT-72,28
Emilia-Romagna,IT-45,24
Friuli-Venezia Giulia,IT-36,24
Lazio,IT-62,37
Liguria,IT-42,12
Lombardy,IT-25,24
Marche,IT-57,46
Molise,IT-67,65
Piedmont,IT-21,18
Sardinia,IT-88,20
Sicily,IT-82,26
Trentino-Alto Adige/South Tyrol,IT-32,19
Tuscany,IT-52,23
Umbria,IT-55,30
Veneto,IT-34,14
