geoName,geoCode,Holzbalkon
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,0
Salzburg,AT-5,100
Styria,AT-6,36
Tyrol,AT-7,66
Upper Austria,AT-4,20
Vienna,AT-9,16
Vorarlberg,AT-8,74
