geoName,geoCode,funky
Abruzzo,IT-65,71
Aosta,IT-23,0
Apulia,IT-75,27
Basilicata,IT-77,29
Calabria,IT-78,24
Campania,IT-72,40
Emilia-Romagna,IT-45,88
Friuli-Venezia Giulia,IT-36,100
Lazio,IT-62,40
Liguria,IT-42,76
Lombardy,IT-25,66
Marche,IT-57,63
Molise,IT-67,49
Piedmont,IT-21,53
Sardinia,IT-88,50
Sicily,IT-82,36
Trentino-Alto Adige/South Tyrol,IT-32,36
Tuscany,IT-52,57
Umbria,IT-55,42
Veneto,IT-34,57
