date,funky,isPartial
2018-01-07,17,False
2018-01-14,35,False
2018-01-21,26,False
2018-01-28,42,False
2018-02-04,51,False
2018-02-11,53,False
2018-02-18,36,False
2018-02-25,87,False
2018-03-04,54,False
2018-03-11,18,False
2018-03-18,37,False
2018-03-25,28,False
2018-04-01,60,False
2018-04-08,38,False
2018-04-15,49,False
2018-04-22,49,False
2018-04-29,19,False
2018-05-06,37,False
2018-05-13,46,False
2018-05-20,93,False
2018-05-27,38,False
2018-06-03,47,False
2018-06-10,27,False
2018-06-17,56,False
2018-06-24,37,False
2018-07-01,45,False
2018-07-08,46,False
2018-07-15,56,False
2018-07-22,57,False
2018-07-29,66,False
2018-08-05,38,False
2018-08-12,41,False
2018-08-19,48,False
2018-08-26,27,False
2018-09-02,27,False
2018-09-09,74,False
2018-09-16,18,False
2018-09-23,65,False
2018-09-30,18,False
2018-10-07,57,False
2018-10-14,57,False
2018-10-21,0,False
2018-10-28,44,False
2018-11-04,72,False
2018-11-11,38,False
2018-11-18,46,False
2018-11-25,65,False
2018-12-02,78,False
2018-12-09,59,False
2018-12-16,20,False
2018-12-23,100,False
2018-12-30,60,False
2019-01-06,27,False
2019-01-13,72,False
2019-01-20,51,False
2019-01-27,59,False
2019-02-03,51,False
2019-02-10,69,False
2019-02-17,35,False
2019-02-24,61,False
2019-03-03,71,False
2019-03-10,53,False
2019-03-17,54,False
2019-03-24,27,False
2019-03-31,61,False
2019-04-07,53,False
2019-04-14,18,False
2019-04-21,46,False
2019-04-28,52,False
2019-05-05,33,False
2019-05-12,33,False
2019-05-19,58,False
2019-05-26,33,False
2019-06-02,53,False
2019-06-09,89,False
2019-06-16,61,False
2019-06-23,81,False
2019-06-30,71,False
2019-07-07,45,False
2019-07-14,47,False
2019-07-21,37,False
2019-07-28,18,False
2019-08-04,19,False
2019-08-11,53,False
2019-08-18,38,False
2019-08-25,51,False
2019-09-01,25,False
2019-09-08,35,False
2019-09-15,17,False
2019-09-22,43,False
2019-09-29,17,False
2019-10-06,51,False
2019-10-13,51,False
2019-10-20,17,False
2019-10-27,33,False
2019-11-03,40,False
2019-11-10,32,False
2019-11-17,32,False
2019-11-24,41,False
2019-12-01,43,False
2019-12-08,34,False
2019-12-15,68,False
2019-12-22,29,False
2019-12-29,46,False
2020-01-05,32,False
2020-01-12,54,False
2020-01-19,71,False
2020-01-26,23,False
2020-02-02,31,False
2020-02-09,16,False
2020-02-16,71,False
2020-02-23,52,False
2020-03-01,14,False
2020-03-08,35,False
2020-03-15,14,False
2020-03-22,33,False
2020-03-29,61,False
2020-04-05,36,False
2020-04-12,43,False
2020-04-19,28,False
2020-04-26,47,True
