geoName,geoCode,moustiquaire porte
Brittany,FR-E,13.131313131313133
Centre-Val de Loire,FR-F,39.39393939393939
Corsica,FR-H,98.98989898989899
Pays de la Loire,FR-R,39.39393939393939
Provence-Alpes-Côte d'Azur,FR-U,92.92929292929293
Île-de-France,FR-J,18.181818181818183
Grand-est,FR-GE,63.2996632996633
Hauts-de-france,FR-HF,35.35353535353536
Normandie,FR-NO,13.636363636363635
Bourgogne-Franche-Comté,FR-BFC,88.88888888888889
Nouvelle-Aquitaine,FR-NA,60.26936026936026
Occitanie,FR-OC,100.0
Auvergne-Rhône-Alpes,FR-AR,85.35353535353535
