geoName,geoCode,Sastre
Andalusia,ES-AN,27
Aragon,ES-AR,40
Asturias,ES-AS,40
Balearic Islands,ES-IB,100
Basque Country,ES-PV,39
Canary Islands,ES-CN,26
Cantabria,ES-CB,62
Castile and León,ES-CL,76
Castile-La Mancha,ES-CM,47
Catalonia,ES-CT,43
Ceuta,ES-CE,0
Community of Madrid,ES-MD,71
Extremadura,ES-EX,50
Galicia,ES-GA,42
La Rioja,ES-RI,22
Melilla,ES-ML,0
Navarre,ES-NC,28
Region of Murcia,ES-MC,34
Valencian Community,ES-VC,41
