geoName,geoCode,Altbausanierung
Baden-Württemberg,DE-BW,73
Bavaria,DE-BY,45
Berlin,DE-BE,14
Brandenburg,DE-BB,17
Bremen,DE-HB,100
Hamburg,DE-HH,39
Hesse,DE-HE,30
Lower Saxony,DE-NI,32
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,41
Rhineland-Palatinate,DE-RP,51
Saarland,DE-SL,38
Saxony,DE-SN,28
Saxony-Anhalt,DE-ST,63
Schleswig-Holstein,DE-SH,50
Thuringia,DE-TH,84
