geoName,geoCode,Altbausanierung
Burgenland,AT-1,0
Carinthia,AT-2,100
Lower Austria,AT-3,31
Salzburg,AT-5,29
Styria,AT-6,37
Tyrol,AT-7,57
Upper Austria,AT-4,39
Vienna,AT-9,21
Vorarlberg,AT-8,64
