date,Altbausanierung,isPartial
2018-01-07,49,False
2018-01-14,48,False
2018-01-21,76,False
2018-01-28,76,False
2018-02-04,81,False
2018-02-11,44,False
2018-02-18,68,False
2018-02-25,46,False
2018-03-04,74,False
2018-03-11,37,False
2018-03-18,47,False
2018-03-25,33,False
2018-04-01,56,False
2018-04-08,48,False
2018-04-15,55,False
2018-04-22,66,False
2018-04-29,65,False
2018-05-06,46,False
2018-05-13,28,False
2018-05-20,40,False
2018-05-27,38,False
2018-06-03,41,False
2018-06-10,67,False
2018-06-17,64,False
2018-06-24,47,False
2018-07-01,50,False
2018-07-08,43,False
2018-07-15,51,False
2018-07-22,45,False
2018-07-29,48,False
2018-08-05,61,False
2018-08-12,68,False
2018-08-19,58,False
2018-08-26,45,False
2018-09-02,63,False
2018-09-09,50,False
2018-09-16,91,False
2018-09-23,54,False
2018-09-30,63,False
2018-10-07,60,False
2018-10-14,50,False
2018-10-21,64,False
2018-10-28,79,False
2018-11-04,59,False
2018-11-11,52,False
2018-11-18,44,False
2018-11-25,45,False
2018-12-02,45,False
2018-12-09,75,False
2018-12-16,66,False
2018-12-23,61,False
2018-12-30,77,False
2019-01-06,66,False
2019-01-13,88,False
2019-01-20,51,False
2019-01-27,73,False
2019-02-03,58,False
2019-02-10,97,False
2019-02-17,62,False
2019-02-24,60,False
2019-03-03,64,False
2019-03-10,72,False
2019-03-17,90,False
2019-03-24,69,False
2019-03-31,72,False
2019-04-07,91,False
2019-04-14,68,False
2019-04-21,72,False
2019-04-28,47,False
2019-05-05,72,False
2019-05-12,80,False
2019-05-19,58,False
2019-05-26,30,False
2019-06-02,65,False
2019-06-09,48,False
2019-06-16,66,False
2019-06-23,93,False
2019-06-30,65,False
2019-07-07,70,False
2019-07-14,61,False
2019-07-21,22,False
2019-07-28,40,False
2019-08-04,44,False
2019-08-11,39,False
2019-08-18,82,False
2019-08-25,87,False
2019-09-01,61,False
2019-09-08,62,False
2019-09-15,86,False
2019-09-22,78,False
2019-09-29,61,False
2019-10-06,55,False
2019-10-13,85,False
2019-10-20,85,False
2019-10-27,80,False
2019-11-03,73,False
2019-11-10,74,False
2019-11-17,38,False
2019-11-24,70,False
2019-12-01,50,False
2019-12-08,94,False
2019-12-15,54,False
2019-12-22,64,False
2019-12-29,71,False
2020-01-05,100,False
2020-01-12,100,False
2020-01-19,89,False
2020-01-26,86,False
2020-02-02,80,False
2020-02-09,66,False
2020-02-16,87,False
2020-02-23,51,False
2020-03-01,66,False
2020-03-08,75,False
2020-03-15,45,False
2020-03-22,26,False
2020-03-29,52,False
2020-04-05,69,False
2020-04-12,57,False
2020-04-19,45,False
2020-04-26,67,False
2020-05-03,88,False
2020-05-10,73,False
