,geoName,piscine conteneur
3,Brittany,93.0
5,Centre-Val de Loire,100.0
7,Corsica,0.0
15,Pays de la Loire,70.0
18,Provence-Alpes-Côte d'Azur,40.0
21,Île-de-France,36.0
22,Grand-est,58.0
23,Hauts-de-france,31.0
24,Normandie,46.5
25,Bourgogne-Franche-Comté,0.0
26,Nouvelle-Aquitaine,63.333333333333336
27,Occitanie,83.0
28,Auvergne-Rhône-Alpes,44.0
