geoName,geoCode,Brennwert
Burgenland,AT-1,0
Carinthia,AT-2,0
Lower Austria,AT-3,94
Salzburg,AT-5,65
Styria,AT-6,94
Tyrol,AT-7,65
Upper Austria,AT-4,76
Vienna,AT-9,100
Vorarlberg,AT-8,0
