date,Sanitär Heizung,isPartial
2018-01-07,45,False
2018-01-14,85,False
2018-01-21,51,False
2018-01-28,52,False
2018-02-04,87,False
2018-02-11,72,False
2018-02-18,52,False
2018-02-25,65,False
2018-03-04,44,False
2018-03-11,44,False
2018-03-18,70,False
2018-03-25,28,False
2018-04-01,53,False
2018-04-08,67,False
2018-04-15,72,False
2018-04-22,57,False
2018-04-29,39,False
2018-05-06,47,False
2018-05-13,34,False
2018-05-20,64,False
2018-05-27,57,False
2018-06-03,69,False
2018-06-10,43,False
2018-06-17,37,False
2018-06-24,34,False
2018-07-01,54,False
2018-07-08,61,False
2018-07-15,27,False
2018-07-22,54,False
2018-07-29,31,False
2018-08-05,42,False
2018-08-12,75,False
2018-08-19,42,False
2018-08-26,54,False
2018-09-02,34,False
2018-09-09,51,False
2018-09-16,78,False
2018-09-23,55,False
2018-09-30,53,False
2018-10-07,75,False
2018-10-14,51,False
2018-10-21,95,False
2018-10-28,50,False
2018-11-04,62,False
2018-11-11,61,False
2018-11-18,59,False
2018-11-25,64,False
2018-12-02,63,False
2018-12-09,44,False
2018-12-16,79,False
2018-12-23,68,False
2018-12-30,21,False
2019-01-06,66,False
2019-01-13,60,False
2019-01-20,51,False
2019-01-27,58,False
2019-02-03,67,False
2019-02-10,78,False
2019-02-17,65,False
2019-02-24,37,False
2019-03-03,83,False
2019-03-10,70,False
2019-03-17,78,False
2019-03-24,33,False
2019-03-31,49,False
2019-04-07,41,False
2019-04-14,60,False
2019-04-21,44,False
2019-04-28,39,False
2019-05-05,32,False
2019-05-12,36,False
2019-05-19,55,False
2019-05-26,49,False
2019-06-02,32,False
2019-06-09,38,False
2019-06-16,51,False
2019-06-23,29,False
2019-06-30,32,False
2019-07-07,33,False
2019-07-14,38,False
2019-07-21,29,False
2019-07-28,71,False
2019-08-04,43,False
2019-08-11,33,False
2019-08-18,73,False
2019-08-25,44,False
2019-09-01,49,False
2019-09-08,53,False
2019-09-15,44,False
2019-09-22,56,False
2019-09-29,57,False
2019-10-06,76,False
2019-10-13,56,False
2019-10-20,62,False
2019-10-27,78,False
2019-11-03,100,False
2019-11-10,80,False
2019-11-17,57,False
2019-11-24,35,False
2019-12-01,71,False
2019-12-08,41,False
2019-12-15,54,False
2019-12-22,36,False
2019-12-29,52,False
2020-01-05,59,False
2020-01-12,82,False
2020-01-19,66,False
2020-01-26,65,False
2020-02-02,62,False
2020-02-09,52,False
2020-02-16,57,False
2020-02-23,62,False
2020-03-01,63,False
2020-03-08,76,False
2020-03-15,31,False
2020-03-22,53,False
2020-03-29,42,False
2020-04-05,46,False
2020-04-12,36,False
2020-04-19,42,False
2020-04-26,56,False
2020-05-03,37,False
2020-05-10,64,False
