geoName,geoCode,Sanitär Heizung
Baden-Württemberg,DE-BW,55
Bavaria,DE-BY,57
Berlin,DE-BE,49
Brandenburg,DE-BB,72
Bremen,DE-HB,61
Hamburg,DE-HH,51
Hesse,DE-HE,65
Lower Saxony,DE-NI,71
Mecklenburg-Vorpommern,DE-MV,100
North Rhine-Westphalia,DE-NW,93
Rhineland-Palatinate,DE-RP,73
Saarland,DE-SL,85
Saxony,DE-SN,55
Saxony-Anhalt,DE-ST,81
Schleswig-Holstein,DE-SH,57
Thuringia,DE-TH,69
