date,Aria Condizionata,Cura giardino,Imbianchino,Installazione barbecue,Installazione pannelli solari,Installazione piscina,Installazione tende da sole,Installazione zanzariera,Lezioni di inglese,Personal trainer,Psicologo,Riparazione console videogiochi,Sgombero cantine e soffitte
2018-01-01,6.299212598425196,4.724409448818897,19.68503937007874,0.0,3.149606299212598,0.7874015748031495,0.0,2.3622047244094486,30.708661417322837,34.645669291338585,22.04724409448819,0.0,2.3622047244094486
2018-02-01,13.385826771653544,4.724409448818897,18.11023622047244,0.0,4.724409448818897,0.0,0.0,0.0,22.04724409448819,24.409448818897637,24.409448818897637,0.0,4.724409448818897
2018-03-01,22.04724409448819,7.086614173228346,22.04724409448819,0.0,3.937007874015748,1.574803149606299,0.0,7.086614173228346,19.68503937007874,20.47244094488189,35.43307086614173,0.0,2.3622047244094486
2018-04-01,29.92125984251969,9.448818897637794,20.47244094488189,0.0,0.0,5.511811023622047,7.086614173228346,12.598425196850393,23.62204724409449,28.346456692913385,30.708661417322837,0.0,2.3622047244094486
2018-05-01,30.708661417322837,11.811023622047244,27.559055118110237,0.0,0.7874015748031495,3.937007874015748,12.598425196850393,11.023622047244094,29.92125984251969,16.535433070866144,22.83464566929134,0.0,3.937007874015748
2018-06-01,23.62204724409449,7.086614173228346,15.748031496062993,0.0,1.574803149606299,3.937007874015748,8.661417322834646,13.385826771653544,25.196850393700785,20.47244094488189,25.984251968503933,0.0,0.0
2018-07-01,19.68503937007874,8.661417322834646,11.811023622047244,0.0,2.3622047244094486,8.661417322834646,13.385826771653544,10.236220472440944,12.598425196850393,22.83464566929134,19.68503937007874,0.0,1.574803149606299
2018-08-01,11.023622047244094,6.299212598425196,12.598425196850393,0.0,0.7874015748031495,6.299212598425196,2.3622047244094486,1.574803149606299,22.04724409448819,31.496062992125985,21.25984251968504,0.0,0.7874015748031495
2018-09-01,5.511811023622047,5.511811023622047,13.385826771653544,0.0,0.7874015748031495,2.3622047244094486,0.0,3.937007874015748,43.30708661417323,58.26771653543307,25.984251968503933,0.7874015748031495,0.7874015748031495
2018-10-01,9.448818897637794,4.724409448818897,15.748031496062993,0.0,1.574803149606299,0.0,0.0,0.0,40.94488188976378,35.43307086614173,12.598425196850393,0.0,0.0
2018-11-01,11.811023622047244,6.299212598425196,9.448818897637794,0.0,2.3622047244094486,0.0,3.149606299212598,0.0,30.708661417322837,14.173228346456693,23.62204724409449,2.3622047244094486,3.149606299212598
2018-12-01,4.724409448818897,1.574803149606299,3.149606299212598,0.0,1.574803149606299,1.574803149606299,0.0,0.0,27.559055118110237,14.960629921259844,14.960629921259844,4.724409448818897,0.7874015748031495
2019-01-01,11.811023622047244,2.3622047244094486,21.25984251968504,0.0,0.7874015748031495,3.149606299212598,0.7874015748031495,1.574803149606299,54.330708661417326,52.75590551181102,35.43307086614173,0.0,0.7874015748031495
2019-02-01,7.086614173228346,5.511811023622047,16.535433070866144,0.0,3.937007874015748,1.574803149606299,3.937007874015748,3.149606299212598,45.66929133858268,25.984251968503933,25.196850393700785,1.574803149606299,3.937007874015748
2019-03-01,15.748031496062993,21.25984251968504,29.92125984251969,0.0,3.937007874015748,7.874015748031496,3.937007874015748,8.661417322834646,37.00787401574803,22.83464566929134,29.92125984251969,4.724409448818897,1.574803149606299
2019-04-01,10.236220472440944,20.47244094488189,29.92125984251969,0.0,0.7874015748031495,6.299212598425196,3.937007874015748,7.086614173228346,50.39370078740157,21.25984251968504,29.133858267716533,3.149606299212598,1.574803149606299
2019-05-01,14.960629921259844,11.023622047244094,23.62204724409449,0.0,4.724409448818897,5.511811023622047,5.511811023622047,7.086614173228346,43.30708661417323,45.66929133858268,28.346456692913385,7.086614173228346,2.3622047244094486
2019-06-01,66.92913385826772,22.83464566929134,17.322834645669293,0.0,1.574803149606299,3.937007874015748,10.236220472440944,19.68503937007874,41.732283464566926,31.496062992125985,27.559055118110237,6.299212598425196,3.149606299212598
2019-07-01,67.71653543307087,7.086614173228346,21.25984251968504,0.7874015748031495,3.149606299212598,13.385826771653544,7.874015748031496,4.724409448818897,45.66929133858268,28.346456692913385,26.77165354330709,12.598425196850393,7.874015748031496
2019-08-01,24.409448818897637,7.086614173228346,17.322834645669293,0.0,2.3622047244094486,10.236220472440944,6.299212598425196,5.511811023622047,44.09448818897638,31.496062992125985,34.645669291338585,7.874015748031496,6.299212598425196
2019-09-01,10.236220472440944,11.023622047244094,30.708661417322837,0.0,6.299212598425196,9.448818897637794,4.724409448818897,5.511811023622047,82.67716535433071,27.559055118110237,44.09448818897638,12.598425196850393,7.874015748031496
2019-10-01,21.25984251968504,9.448818897637794,19.68503937007874,0.0,0.7874015748031495,2.3622047244094486,0.7874015748031495,3.149606299212598,72.44094488188976,31.496062992125985,49.60629921259843,6.299212598425196,7.086614173228346
2019-11-01,17.322834645669293,3.149606299212598,22.04724409448819,0.0,3.937007874015748,1.574803149606299,1.574803149606299,0.0,58.26771653543307,19.68503937007874,45.66929133858268,7.874015748031496,3.937007874015748
2019-12-01,16.535433070866144,1.574803149606299,7.086614173228346,0.0,2.3622047244094486,0.7874015748031495,0.7874015748031495,0.0,29.92125984251969,14.173228346456693,24.409448818897637,5.511811023622047,3.149606299212598
2020-01-01,23.62204724409449,8.661417322834646,11.811023622047244,0.0,4.724409448818897,3.937007874015748,1.574803149606299,3.149606299212598,47.24409448818898,44.09448818897638,37.79527559055118,14.960629921259844,3.937007874015748
