,geoName,entreprise plomberie
3,Brittany,57.99999999999999
5,Centre-Val de Loire,60.0
7,Corsica,0.0
15,Pays de la Loire,30.0
18,Provence-Alpes-Côte d'Azur,40.0
21,Île-de-France,38.0
22,Grand-est,0.0
23,Hauts-de-france,33.0
24,Normandie,30.0
25,Bourgogne-Franche-Comté,22.0
26,Nouvelle-Aquitaine,100.0
27,Occitanie,46.0
28,Auvergne-Rhône-Alpes,42.0
