geoName,geoCode,Wand verputzen
Baden-Württemberg,DE-BW,52
Bavaria,DE-BY,44
Berlin,DE-BE,29
Brandenburg,DE-BB,15
Bremen,DE-HB,0
Hamburg,DE-HH,23
Hesse,DE-HE,41
Lower Saxony,DE-NI,50
Mecklenburg-Vorpommern,DE-MV,0
North Rhine-Westphalia,DE-NW,61
Rhineland-Palatinate,DE-RP,45
Saarland,DE-SL,69
Saxony,DE-SN,58
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,48
Thuringia,DE-TH,69
