geoName,geoCode,Schwimmteich
Burgenland,AT-1,100
Carinthia,AT-2,46
Lower Austria,AT-3,92
Salzburg,AT-5,40
Styria,AT-6,41
Tyrol,AT-7,70
Upper Austria,AT-4,96
Vienna,AT-9,48
Vorarlberg,AT-8,59
