geoName,geoCode,Baufirmen
Baden-Württemberg,DE-BW,47
Bavaria,DE-BY,74
Berlin,DE-BE,39
Brandenburg,DE-BB,95
Bremen,DE-HB,0
Hamburg,DE-HH,37
Hesse,DE-HE,41
Lower Saxony,DE-NI,34
Mecklenburg-Vorpommern,DE-MV,67
North Rhine-Westphalia,DE-NW,26
Rhineland-Palatinate,DE-RP,64
Saarland,DE-SL,46
Saxony,DE-SN,70
Saxony-Anhalt,DE-ST,100
Schleswig-Holstein,DE-SH,69
Thuringia,DE-TH,75
