geoName,geoCode,folieren
Baden-Württemberg,DE-BW,78
Bavaria,DE-BY,79
Berlin,DE-BE,51
Brandenburg,DE-BB,75
Bremen,DE-HB,76
Hamburg,DE-HH,82
Hesse,DE-HE,78
Lower Saxony,DE-NI,88
Mecklenburg-Vorpommern,DE-MV,69
North Rhine-Westphalia,DE-NW,89
Rhineland-Palatinate,DE-RP,92
Saarland,DE-SL,100
Saxony,DE-SN,68
Saxony-Anhalt,DE-ST,77
Schleswig-Holstein,DE-SH,93
Thuringia,DE-TH,56
