geoName,geoCode,Reinigungsfirma
Baden-Württemberg,DE-BW,62
Bavaria,DE-BY,38
Berlin,DE-BE,52
Brandenburg,DE-BB,59
Bremen,DE-HB,65
Hamburg,DE-HH,54
Hesse,DE-HE,65
Lower Saxony,DE-NI,58
Mecklenburg-Vorpommern,DE-MV,58
North Rhine-Westphalia,DE-NW,50
Rhineland-Palatinate,DE-RP,36
Saarland,DE-SL,100
Saxony,DE-SN,50
Saxony-Anhalt,DE-ST,37
Schleswig-Holstein,DE-SH,54
Thuringia,DE-TH,85
