geoName,geoCode,World
Abruzzo,IT-65,68
Aosta,IT-23,100
Apulia,IT-75,62
Basilicata,IT-77,47
Calabria,IT-78,59
Campania,IT-72,65
Emilia-Romagna,IT-45,89
Friuli-Venezia Giulia,IT-36,88
Lazio,IT-62,83
Liguria,IT-42,86
Lombardy,IT-25,83
Marche,IT-57,73
Molise,IT-67,59
Piedmont,IT-21,76
Sardinia,IT-88,65
Sicily,IT-82,64
Trentino-Alto Adige/South Tyrol,IT-32,87
Tuscany,IT-52,83
Umbria,IT-55,79
Veneto,IT-34,84
