geoName,geoCode,Umbau
Burgenland,AT-1,65
Carinthia,AT-2,78
Lower Austria,AT-3,57
Salzburg,AT-5,55
Styria,AT-6,66
Tyrol,AT-7,67
Upper Austria,AT-4,75
Vienna,AT-9,64
Vorarlberg,AT-8,100
