date,Rideaux,isPartial
2018-01-07,53,False
2018-01-14,99,False
2018-01-21,88,False
2018-01-28,100,False
2018-02-04,67,False
2018-02-11,100,False
2018-02-18,63,False
2018-02-25,63,False
2018-03-04,48,False
2018-03-11,53,False
2018-03-18,79,False
2018-03-25,53,False
2018-04-01,63,False
2018-04-08,63,False
2018-04-15,74,False
2018-04-22,73,False
2018-04-29,38,False
2018-05-06,38,False
2018-05-13,70,False
2018-05-20,49,False
2018-05-27,53,False
2018-06-03,61,False
2018-06-10,50,False
2018-06-17,48,False
2018-06-24,57,False
2018-07-01,46,False
2018-07-08,58,False
2018-07-15,61,False
2018-07-22,38,False
2018-07-29,69,False
2018-08-05,86,False
2018-08-12,47,False
2018-08-19,79,False
2018-08-26,31,False
2018-09-02,43,False
2018-09-09,69,False
2018-09-16,63,False
2018-09-23,60,False
2018-09-30,74,False
2018-10-07,60,False
2018-10-14,38,False
2018-10-21,49,False
2018-10-28,72,False
2018-11-04,62,False
2018-11-11,53,False
2018-11-18,37,False
2018-11-25,68,False
2018-12-02,58,False
2018-12-09,38,False
2018-12-16,33,False
2018-12-23,51,False
2018-12-30,90,False
2019-01-06,84,False
2019-01-13,31,False
2019-01-20,62,False
2019-01-27,81,False
2019-02-03,63,False
2019-02-10,55,False
2019-02-17,72,False
2019-02-24,73,False
2019-03-03,72,False
2019-03-10,42,False
2019-03-17,49,False
2019-03-24,61,False
2019-03-31,59,False
2019-04-07,59,False
2019-04-14,49,False
2019-04-21,41,False
2019-04-28,55,False
2019-05-05,55,False
2019-05-12,56,False
2019-05-19,52,False
2019-05-26,60,False
2019-06-02,47,False
2019-06-09,79,False
2019-06-16,24,False
2019-06-23,67,False
2019-06-30,36,False
2019-07-07,76,False
2019-07-14,76,False
2019-07-21,62,False
2019-07-28,61,False
2019-08-04,55,False
2019-08-11,62,False
2019-08-18,51,False
2019-08-25,63,False
2019-09-01,74,False
2019-09-08,79,False
2019-09-15,51,False
2019-09-22,86,False
2019-09-29,57,False
2019-10-06,58,False
2019-10-13,87,False
2019-10-20,50,False
2019-10-27,81,False
2019-11-03,83,False
2019-11-10,51,False
2019-11-17,61,False
2019-11-24,36,False
2019-12-01,57,False
2019-12-08,38,False
2019-12-15,22,False
2019-12-22,44,False
2019-12-29,53,False
2020-01-05,45,False
2020-01-12,62,False
2020-01-19,66,False
2020-01-26,59,False
2020-02-02,59,False
2020-02-09,71,False
2020-02-16,86,False
2020-02-23,71,False
2020-03-01,48,False
2020-03-08,60,False
2020-03-15,53,False
2020-03-22,37,False
2020-03-29,44,False
2020-04-05,56,False
2020-04-12,65,False
2020-04-19,50,False
2020-04-26,21,False
2020-05-03,75,False
2020-05-10,62,False
2020-05-17,83,True
