date,Rideaux,isPartial
2018-01-07,84,False
2018-01-14,74,False
2018-01-21,73,False
2018-01-28,45,False
2018-02-04,53,False
2018-02-11,59,False
2018-02-18,60,False
2018-02-25,60,False
2018-03-04,85,False
2018-03-11,39,False
2018-03-18,67,False
2018-03-25,57,False
2018-04-01,70,False
2018-04-08,50,False
2018-04-15,19,False
2018-04-22,70,False
2018-04-29,52,False
2018-05-06,62,False
2018-05-13,39,False
2018-05-20,29,False
2018-05-27,49,False
2018-06-03,47,False
2018-06-10,10,False
2018-06-17,72,False
2018-06-24,58,False
2018-07-01,32,False
2018-07-08,44,False
2018-07-15,61,False
2018-07-22,57,False
2018-07-29,76,False
2018-08-05,62,False
2018-08-12,80,False
2018-08-19,57,False
2018-08-26,69,False
2018-09-02,61,False
2018-09-09,57,False
2018-09-16,56,False
2018-09-23,57,False
2018-09-30,52,False
2018-10-07,49,False
2018-10-14,46,False
2018-10-21,57,False
2018-10-28,66,False
2018-11-04,85,False
2018-11-11,80,False
2018-11-18,64,False
2018-11-25,50,False
2018-12-02,43,False
2018-12-09,36,False
2018-12-16,41,False
2018-12-23,40,False
2018-12-30,57,False
2019-01-06,71,False
2019-01-13,96,False
2019-01-20,68,False
2019-01-27,47,False
2019-02-03,92,False
2019-02-10,83,False
2019-02-17,61,False
2019-02-24,54,False
2019-03-03,51,False
2019-03-10,81,False
2019-03-17,40,False
2019-03-24,52,False
2019-03-31,51,False
2019-04-07,68,False
2019-04-14,55,False
2019-04-21,58,False
2019-04-28,62,False
2019-05-05,41,False
2019-05-12,48,False
2019-05-19,36,False
2019-05-26,28,False
2019-06-02,53,False
2019-06-09,69,False
2019-06-16,33,False
2019-06-23,25,False
2019-06-30,54,False
2019-07-07,44,False
2019-07-14,50,False
2019-07-21,43,False
2019-07-28,68,False
2019-08-04,73,False
2019-08-11,67,False
2019-08-18,75,False
2019-08-25,40,False
2019-09-01,35,False
2019-09-08,42,False
2019-09-15,53,False
2019-09-22,43,False
2019-09-29,37,False
2019-10-06,50,False
2019-10-13,83,False
2019-10-20,57,False
2019-10-27,84,False
2019-11-03,42,False
2019-11-10,66,False
2019-11-17,74,False
2019-11-24,58,False
2019-12-01,63,False
2019-12-08,53,False
2019-12-15,48,False
2019-12-22,40,False
2019-12-29,46,False
2020-01-05,62,False
2020-01-12,98,False
2020-01-19,100,False
2020-01-26,66,False
2020-02-02,73,False
2020-02-09,61,False
2020-02-16,56,False
2020-02-23,51,False
2020-03-01,51,False
2020-03-08,79,False
2020-03-15,31,False
2020-03-22,38,False
2020-03-29,40,False
2020-04-05,43,False
2020-04-12,55,False
2020-04-19,60,False
2020-04-26,64,False
2020-05-03,69,False
2020-05-10,57,False
2020-05-17,60,True
