geoName,geoCode,boda civil
Andalusia,ES-AN,54
Aragon,ES-AR,49
Asturias,ES-AS,33
Balearic Islands,ES-IB,82
Basque Country,ES-PV,22
Canary Islands,ES-CN,32
Cantabria,ES-CB,50
Castile and León,ES-CL,45
Castile-La Mancha,ES-CM,54
Catalonia,ES-CT,34
Ceuta,ES-CE,0
Community of Madrid,ES-MD,60
Extremadura,ES-EX,28
Galicia,ES-GA,45
La Rioja,ES-RI,100
Melilla,ES-ML,0
Navarre,ES-NC,38
Region of Murcia,ES-MC,30
Valencian Community,ES-VC,42
