date,uncinetto,isPartial
2018-01-07,70,False
2018-01-14,63,False
2018-01-21,42,False
2018-01-28,87,False
2018-02-04,76,False
2018-02-11,63,False
2018-02-18,73,False
2018-02-25,66,False
2018-03-04,67,False
2018-03-11,59,False
2018-03-18,89,False
2018-03-25,42,False
2018-04-01,81,False
2018-04-08,48,False
2018-04-15,28,False
2018-04-22,72,False
2018-04-29,68,False
2018-05-06,47,False
2018-05-13,73,False
2018-05-20,27,False
2018-05-27,35,False
2018-06-03,62,False
2018-06-10,26,False
2018-06-17,41,False
2018-06-24,14,False
2018-07-01,26,False
2018-07-08,33,False
2018-07-15,48,False
2018-07-22,41,False
2018-07-29,42,False
2018-08-05,49,False
2018-08-12,45,False
2018-08-19,78,False
2018-08-26,53,False
2018-09-02,47,False
2018-09-09,62,False
2018-09-16,20,False
2018-09-23,34,False
2018-09-30,89,False
2018-10-07,63,False
2018-10-14,56,False
2018-10-21,69,False
2018-10-28,60,False
2018-11-04,53,False
2018-11-11,42,False
2018-11-18,67,False
2018-11-25,62,False
2018-12-02,77,False
2018-12-09,48,False
2018-12-16,39,False
2018-12-23,52,False
2018-12-30,29,False
2019-01-06,27,False
2019-01-13,54,False
2019-01-20,35,False
2019-01-27,58,False
2019-02-03,30,False
2019-02-10,42,False
2019-02-17,49,False
2019-02-24,48,False
2019-03-03,30,False
2019-03-10,12,False
2019-03-17,54,False
2019-03-24,36,False
2019-03-31,54,False
2019-04-07,30,False
2019-04-14,38,False
2019-04-21,64,False
2019-04-28,46,False
2019-05-05,34,False
2019-05-12,35,False
2019-05-19,34,False
2019-05-26,50,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,30,False
2019-06-30,43,False
2019-07-07,41,False
2019-07-14,37,False
2019-07-21,72,False
2019-07-28,58,False
2019-08-04,40,False
2019-08-11,65,False
2019-08-18,46,False
2019-08-25,31,False
2019-09-01,34,False
2019-09-08,53,False
2019-09-15,40,False
2019-09-22,44,False
2019-09-29,59,False
2019-10-06,63,False
2019-10-13,28,False
2019-10-20,56,False
2019-10-27,56,False
2019-11-03,53,False
2019-11-10,76,False
2019-11-17,100,False
2019-11-24,59,False
2019-12-01,83,False
2019-12-08,62,False
2019-12-15,40,False
2019-12-22,32,False
2019-12-29,33,False
2020-01-05,42,False
2020-01-12,43,False
2020-01-19,49,False
2020-01-26,36,False
2020-02-02,36,False
2020-02-09,42,False
2020-02-16,37,False
2020-02-23,55,False
2020-03-01,44,False
2020-03-08,28,False
2020-03-15,53,False
2020-03-22,44,False
2020-03-29,80,False
2020-04-05,82,False
2020-04-12,63,False
2020-04-19,88,False
2020-04-26,80,True
